book,date,pnl,equity,gross,gross_to_equity,tickets,symbols,largest_symbol_gross,largest_symbol_equity_fraction,stale_gross,new_gross,preorder_gross,pacing_scale,above_130k,excess_130k,excursion_cause,borrow_base,extra_spread
PARENT,2025-09-02,0.0,100000.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,none,0.0,0.0
PARENT,2025-09-03,0.0,100000.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,none,0.0,0.0
PARENT,2025-09-04,-38.005739999999996,99961.99426,31820.74,0.3183283830576111,8,8,3993.7999999999997,0.03995318450342408,0.0,31820.74,0.0,1.0,False,0,none,87.1801095890411,31.82074
PARENT,2025-09-05,-704.0100000000002,99257.98426000001,32524.75,0.3276789292315616,8,8,4415.6,0.04448609381824253,0.0,0.0,32505.275,1.0,False,0,none,267.32671232876714,0.0
PARENT,2025-09-08,120.46500000000111,99378.44926000001,32404.285,0.32606953762401664,8,8,4758.645,0.04788407381514015,0.0,0.0,32312.659000000003,1.0,False,0,none,88.77886301369863,0.0
PARENT,2025-09-09,-1292.648,98085.80126000001,33696.933000000005,0.34354547311774697,8,8,4758.645,0.04851512592924706,4758.645,0.0,33669.770000000004,1.0,False,0,none,92.32036438356165,0.0
PARENT,2025-09-10,-459.607000000001,97626.19426,34156.54,0.3498706495618751,8,8,5113.28,0.05237610703518988,4758.645,0.0,34119.6121,1.0,False,0,none,93.57956164383562,0.0
PARENT,2025-09-11,524.9794400000003,98151.1737,65368.698000000004,0.6660001662313285,16,14,8968.05,0.09136976830670339,0.0,31772.56,33604.495,1.0,False,0,none,179.09232328767123,31.772560000000002
PARENT,2025-09-12,408.87800000000095,98560.0517,64959.82,0.6590887370648569,16,14,9271.08,0.09406529156680628,3962.57,0.0,64984.56,1.0,False,0,none,533.9163287671232,0.0
PARENT,2025-09-15,32.14000000000071,98592.1917,64927.68,0.6585478918813812,16,14,10141.95,0.10286767973330287,3962.57,0.0,64890.74999999999,1.0,False,0,none,177.88405479452055,0.0
PARENT,2025-09-16,-529.7300000000032,98062.46169999999,65457.41,0.6675073097823325,16,14,9950.850000000002,0.10147460942233315,3962.57,0.0,65451.425,1.0,False,0,none,179.3353698630137,0.0
PARENT,2025-09-17,-484.32499999999817,97578.13669999999,65941.735,0.6757839125657337,16,14,10346.7,0.1060350233148078,3962.57,0.0,66057.78000000001,1.0,False,0,none,180.6622876712329,0.0
PARENT,2025-09-18,-1557.8151984000021,96020.32150159999,64672.701700000005,0.673531401359892,16,12,8926.960000000001,0.09296948667112358,3962.57,31905.567000000003,67381.57,1.0,False,0,none,177.18548410958905,66.55909840000001
PARENT,2025-09-19,-67.67330000000032,95952.6482016,64740.37500000001,0.6747117063822786,16,12,8953.560000000001,0.09331227608422278,3962.57,0.0,64741.920600000005,1.0,False,0,none,532.1126712328768,0.0
PARENT,2025-09-22,-1310.1249999999986,94642.5232016,66050.5,0.6978945379478574,16,12,9678.9,0.10226798348753631,3962.57,0.0,66242.4537,1.0,False,0,none,180.96027397260275,0.0
PARENT,2025-09-23,-321.43780000000004,94321.0854016,66371.9378,0.7036808102599943,16,12,9648.87,0.1022981230434009,3962.57,0.0,66374.00649999999,1.0,False,0,none,181.84092547945207,0.0
PARENT,2025-09-24,-1482.8774999999991,92838.20790159999,67854.8153,0.7308932047882688,16,12,10883.103,0.11722655193360791,3962.57,0.0,67856.7142,1.0,False,0,none,185.90360356164385,0.0
PARENT,2025-09-25,2820.221124999998,95658.42902659999,66665.97,0.6969168391994188,17,14,7923.18,0.08282782898093362,3962.57,31777.495,64942.455,1.0,False,0,none,182.64649315068493,61.854175
PARENT,2025-09-26,-443.55100000000135,95214.87802659998,67109.52100000001,0.7048217924645322,17,14,8139.84,0.08548916060918536,3962.57,0.0,67141.2472,1.0,False,0,none,551.5851041095891,0.0
PARENT,2025-09-29,-3805.978999999999,91408.89902659999,70915.5,0.7758052088491252,17,14,8733.099999999999,0.09553883804528339,3962.57,0.0,70980.57250000001,1.0,False,0,none,194.2890410958904,0.0
PARENT,2025-09-30,-1184.1420000000012,90224.75702659998,72099.642,0.7991115119184378,17,14,8857.300000000001,0.09816928625686074,3962.57,0.0,72035.41,1.0,False,0,none,197.53326575342467,0.0
PARENT,2025-10-01,-1101.6729999999993,89123.08402659999,73201.315,0.8213507846985196,17,14,9459.900000000001,0.10614421732955927,3962.57,0.0,73226.52040000001,1.0,False,0,none,200.5515479452055,0.0
PARENT,2025-10-02,-3848.767314399998,85274.31671219999,78891.5144,0.9251497689070687,18,13,13398.650000000001,0.15712409687456447,13422.470000000001,31901.1744,77057.18140000002,1.0,False,0,none,216.14113534246576,61.887314399999994
PARENT,2025-10-03,-485.9406000000017,84788.37611219999,79377.455,0.9361832203857786,18,13,12337.250000000002,0.14550638384292428,13422.470000000001,0.0,79276.4292,1.0,False,0,none,652.4174383561643,0.0
PARENT,2025-10-06,-740.3350000000012,84048.04111219998,80117.79000000001,0.9532380402899184,18,13,12498.900000000001,0.14871137785727317,13422.470000000001,0.0,80209.92,1.0,False,0,none,219.50079452054797,0.0
PARENT,2025-10-07,-445.70469999999733,83602.33641219998,80563.49470000001,0.9636512346112314,18,13,11873.650000000001,0.1420253369649523,13422.470000000001,0.0,80549.97830000002,1.0,False,0,none,220.72190328767127,0.0
PARENT,2025-10-08,-2246.3453000000018,81355.99111219998,82809.84,1.0178702129729449,18,13,12129.85,0.1490959649581484,13422.470000000001,0.0,82972.20400000001,1.0,False,0,none,226.87627397260272,0.0
PARENT,2025-10-09,-1340.0835429999966,80015.90756919998,81622.593,1.0200795751696063,19,13,9664.199999999999,0.1207784838488788,13422.470000000001,31810.683,84029.625,1.0,False,0,none,223.62354246575342,66.073543
PARENT,2025-10-10,7289.722999999999,87305.63056919997,74332.87000000001,0.8514098061645918,19,13,9459.900000000001,0.10835383626834834,13422.470000000001,0.0,74458.6052,1.0,False,0,none,610.955095890411,0.0
