book,side,mode,date,pnl,equity,cash,gross,target,unused_headroom,cohorts,tickets,stale_gross,overdue_tickets
BRIDGE_R4,short,IS,2025-09-02,0.0,100000.0,100000.0,0,100000.0,100000.0,0,0,0.0,0
BRIDGE_R4,short,IS,2025-09-03,0.0,100000.0,100000.0,0,100000.0,100000.0,0,0,0.0,0
BRIDGE_R4,short,IS,2025-09-04,-46.147947999983444,99953.85205200002,128152.60205200002,28198.75,99953.85205200002,71755.10205200002,1,8,0.0,0
BRIDGE_R4,short,IS,2025-09-05,-437.18000000000757,99516.67205200001,128152.60205200002,28635.93,99516.67205200001,70880.74205200002,1,8,0.0,0
BRIDGE_R4,short,IS,2025-09-08,-320.95999999999185,99195.71205200002,128152.60205200002,28956.89,99195.71205200002,70238.82205200002,1,8,0.0,0
BRIDGE_R4,short,IS,2025-09-09,-945.3545000000013,98250.35755200002,128152.60205200002,29902.2445,98250.35755200002,68348.11305200002,1,8,6129.78,0
BRIDGE_R4,short,IS,2025-09-10,-137.7905000000028,98112.56705200001,128152.60205200002,30040.035000000003,98112.56705200001,68072.53205200001,1,8,6129.78,0
BRIDGE_R4,short,IS,2025-09-11,578.8555100000376,98691.42256200005,153724.42156200006,55032.999,98691.42256200005,43658.42356200005,2,16,0.0,0
BRIDGE_R4,short,IS,2025-09-12,679.6990000000078,99371.12156200006,153724.42156200006,54353.3,99371.12156200006,45017.821562000056,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-15,104.90000000000873,99476.02156200007,153724.42156200006,54248.4,99476.02156200007,45227.621562000066,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-16,-561.8050000000076,98914.21656200006,153724.42156200006,54810.205,98914.21656200006,44104.01156200006,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-17,-295.91999999999825,98618.29656200006,153724.42156200006,55106.125,98618.29656200006,43512.17156200006,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-18,-1477.5236150000565,97140.772947,154222.146547,57081.373600000006,97140.772947,40059.399347,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-19,35.51360000000568,97176.28654700001,154222.146547,57045.86,97176.28654700001,40130.42654700001,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-22,-741.3950000000041,96434.891547,154222.146547,57787.255000000005,96434.891547,38647.636547,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-23,-238.07080000000133,96196.820747,154222.146547,58025.325800000006,96196.820747,38171.494947,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-24,-1277.251299999989,94919.56944700002,154222.146547,59302.5771,94919.56944700002,35616.992347000014,2,16,2529.3,0
BRIDGE_R4,short,IS,2025-09-25,2738.903974999994,97658.47342200001,159908.753422,62250.280000000006,97658.47342200001,35408.193422000004,3,17,2529.3,1
BRIDGE_R4,short,IS,2025-09-26,-924.3710000000137,96734.102422,159908.753422,63174.651000000005,96734.102422,33559.45142199999,3,17,2529.3,1
BRIDGE_R4,short,IS,2025-09-29,-2925.4189999999944,93808.683422,159908.753422,66100.07,93808.683422,27708.613421999995,3,17,2529.3,1
BRIDGE_R4,short,IS,2025-09-30,-565.679999999993,93243.00342200001,159908.753422,66665.75,93243.00342200001,26577.25342200001,3,17,2529.3,1
BRIDGE_R4,short,IS,2025-10-01,-1182.2900000000081,92060.713422,159908.753422,67848.04000000001,92060.713422,24212.673421999993,3,17,2529.3,1
BRIDGE_R4,short,IS,2025-10-02,-2832.532265000016,89228.18115699998,130054.98115699999,40826.8,89228.18115699998,48401.38115699998,3,10,11660.16,2
BRIDGE_R4,short,IS,2025-10-03,282.1450000000041,89510.32615699999,130054.98115699999,40544.655,89510.32615699999,48965.67115699999,3,10,11660.16,2
BRIDGE_R4,short,IS,2025-10-06,-430.9149999999936,89079.411157,130054.98115699999,40975.57,89079.411157,48103.841156999995,3,10,11660.16,2
BRIDGE_R4,short,IS,2025-10-07,244.67999999999302,89324.09115699999,130054.98115699999,40730.89,89324.09115699999,48593.20115699999,3,10,11660.16,2
BRIDGE_R4,short,IS,2025-10-08,-296.79000000000815,89027.30115699998,130054.98115699999,41027.68,89027.30115699998,47999.62115699998,3,10,11660.16,2
BRIDGE_R4,short,IS,2025-10-09,224.24327900000208,89251.54443599998,100911.70443599999,11660.16,89251.54443599998,77591.38443599998,3,3,11660.16,3
