book,side,mode,index,phase,nominal,entry_date,signal,nominal_expiry,expiry_date,entry_ts,exit_ts,calendar_days,intervening_sessions,actual_exit_dates,terminal_max_age_calendar_days,actual_calendar_days_min,actual_calendar_days_median,actual_calendar_days_max,actual_intervening_sessions_min,actual_intervening_sessions_median,actual_intervening_sessions_max,actual_elapsed_hours_min,actual_elapsed_hours_median,actual_elapsed_hours_max,scheduled_in_this_book,filled,missed,delayed_exit_fills,terminal_tickets,terminal_overdue,preorder_equity,surviving_gross,cash_before_due_exits,cash_after_due_exits,surviving_cohorts,pending_due_tickets,target,headroom,budget,planned_gross,filled_gross
BRIDGE_R4,short,IS,0,A,2025-09-04,2025-09-04,2025-09-03,2025-09-18,2025-09-18,2025-09-04T15:59:00-04:00,2025-09-18T15:00:00-04:00,14,10,2025-09-18,,14,14.0,14,10,10.0,10,335.01666666666665,335.01666666666665,335.05,True,8,0,0,0,0,100000.0,0.0,100000.0,100000.0,0,0,100000.0,100000.0,50000.0,28188.991,28185.948
BRIDGE_R4,short,IS,1,B,2025-09-11,2025-09-11,2025-09-10,2025-09-25,2025-09-25,2025-09-11T15:59:00-04:00,2025-09-25T15:00:00-04:00,14,10,2025-09-25,354,14,14,14,10,10,10,335.01666666666665,335.01666666666665,335.05,True,8,0,0,1,1,98695.47705200002,29457.125,128152.60205200002,128152.60205200002,1,0,98695.47705200002,69238.35205200002,49347.73852600001,25615.1014,25600.489999999998
BRIDGE_R4,short,IS,2,A,2025-09-18,2025-09-18,2025-09-17,2025-10-02,2025-10-02,2025-09-18T15:59:00-04:00,2025-10-02T15:00:00-04:00,14,10,2025-10-02|2025-10-15,,14,14.0,27,10,10.0,19,335.01666666666665,335.01666666666665,641.5166666666667,True,8,0,1,0,0,97237.36685700004,26312.050000000003,153724.42156200006,123549.41685700005,1,0,97237.36685700004,70925.31685700004,48618.68342850002,30722.330000000005,30710.310000000005
BRIDGE_R4,short,IS,3,B,2025-09-25,2025-09-25,2025-09-24,2025-10-09,2025-10-09,2025-09-25T15:59:00-04:00,2025-10-09T15:00:00-04:00,14,10,2025-10-09|2025-10-15,,14,14.0,20,10,10.0,14,335.01666666666665,335.01666666666665,473.51666666666665,True,8,0,1,0,0,97675.50204700002,31504.21,154222.146547,129179.71204700002,2,1,97675.50204700002,66171.29204700002,48837.75102350001,30757.575000000004,30763.625
BRIDGE_R4,short,IS,4,A,2025-10-02,2025-10-02,2025-10-01,2025-10-16,2025-10-16,2025-10-02T15:59:00-04:00,2025-10-16T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,5,B,2025-10-09,2025-10-09,2025-10-08,2025-10-23,2025-10-23,2025-10-09T15:59:00-04:00,2025-10-23T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,6,A,2025-10-16,2025-10-16,2025-10-15,2025-10-30,2025-10-30,2025-10-16T15:59:00-04:00,2025-10-30T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,7,B,2025-10-23,2025-10-23,2025-10-22,2025-11-06,2025-11-06,2025-10-23T15:59:00-04:00,2025-11-06T15:00:00-05:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,8,A,2025-10-30,2025-10-30,2025-10-29,2025-11-13,2025-11-13,2025-10-30T15:59:00-04:00,2025-11-13T15:00:00-05:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,9,B,2025-11-06,2025-11-06,2025-11-05,2025-11-20,2025-11-20,2025-11-06T15:59:00-05:00,2025-11-20T15:00:00-05:00,14,10,2025-11-20,,14,14,14,10,10,10,335.01666666666665,335.01666666666665,335.01666666666665,True,7,1,0,0,0,89408.52507599998,2529.3,91937.82507599998,91937.82507599998,1,1,89408.52507599998,86879.22507599997,44704.26253799999,35869.848,30792.55
BRIDGE_R4,short,IS,10,A,2025-11-13,2025-11-13,2025-11-12,2025-11-27,2025-11-26,2025-11-13T15:59:00-05:00,2025-11-26T15:00:00-05:00,13,9,2025-11-26|2025-12-15,,13,13.0,32,9,9.0,21,311.01666666666665,311.01666666666665,761.5166666666667,True,8,0,1,0,0,90738.00752599997,31952.754999999997,122690.76252599998,122690.76252599998,2,1,90738.00752599997,58785.252525999975,45369.003762999986,30823.755,30818.575
BRIDGE_R4,short,IS,11,B,2025-11-20,2025-11-20,2025-11-19,2025-12-04,2025-12-04,2025-11-20T15:59:00-05:00,2025-12-04T15:00:00-05:00,14,9,2025-12-04|2025-12-18,,14,14.0,28,9,9.0,19,335.01666666666665,335.01666666666665,665.5166666666667,True,8,0,1,0,0,90110.90355100002,33370.4392,153470.65047599998,123481.34275100002,2,1,90110.90355100002,56740.464351000024,45055.45177550001,33339.05,33302.435
BRIDGE_R4,short,IS,12,A,2025-11-27,2025-11-26,2025-11-25,2025-12-11,2025-12-11,2025-11-26T15:59:00-05:00,2025-12-11T15:00:00-05:00,15,10,2025-12-11,,15,15.0,15,10,10.0,10,359.01666666666665,359.01666666666665,359.01666666666665,True,8,0,0,0,0,85370.90150599997,43681.33000000001,156744.695316,129052.23150599997,3,2,85370.90150599997,41689.57150599996,41689.57150599996,38473.76,38467.22
BRIDGE_R4,short,IS,13,B,2025-12-04,2025-12-04,2025-12-03,2025-12-18,2025-12-18,2025-12-04T15:59:00-05:00,2025-12-18T15:00:00-05:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,14,A,2025-12-11,2025-12-11,2025-12-10,2025-12-25,2025-12-24,2025-12-11T15:59:00-05:00,2025-12-24T12:00:00-05:00,13,9,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,15,B,2025-12-18,2025-12-18,2025-12-17,2026-01-01,2025-12-31,2025-12-18T15:59:00-05:00,2025-12-31T15:00:00-05:00,13,8,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,16,A,2025-12-25,2025-12-24,2025-12-23,2026-01-08,2026-01-08,2025-12-24T12:59:00-05:00,2026-01-08T15:00:00-05:00,15,9,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,17,B,2026-01-01,2025-12-31,2025-12-30,2026-01-15,2026-01-15,2025-12-31T15:59:00-05:00,2026-01-15T15:00:00-05:00,15,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,18,A,2026-01-08,2026-01-08,2026-01-07,2026-01-22,2026-01-22,2026-01-08T15:59:00-05:00,2026-01-22T15:00:00-05:00,14,9,2026-01-22,,14,14.0,14,9,9.0,9,335.01666666666665,335.01666666666665,335.01666666666665,True,8,0,0,0,0,82734.61386420002,2529.3,85263.91386420002,85263.91386420002,1,1,82734.61386420002,80205.31386420001,41367.30693210001,30817.207700000006,30810.34500000001
BRIDGE_R4,short,IS,19,B,2026-01-15,2026-01-15,2026-01-14,2026-01-29,2026-01-29,2026-01-15T15:59:00-05:00,2026-01-29T15:00:00-05:00,14,9,2026-01-29,,14,14.0,14,9,9.0,9,335.01666666666665,335.01666666666665,335.05,True,8,0,0,0,0,81363.51851920004,34673.255,116036.77351920003,116036.77351920003,2,1,81363.51851920004,46690.26351920004,40681.75925960002,30814.300000000003,30931.226400000003
BRIDGE_R4,short,IS,20,A,2026-01-22,2026-01-22,2026-01-21,2026-02-05,2026-02-05,2026-01-22T15:59:00-05:00,2026-02-05T15:00:00-05:00,14,10,2026-02-05,,14,14.0,14,10,10.0,10,335.01666666666665,335.01666666666665,335.05,True,8,0,0,0,0,80353.35613280004,31166.795000000002,146929.75369280003,111520.15113280003,2,1,80353.35613280004,49186.56113280004,40176.67806640002,25602.890600000002,25604.989999999998
BRIDGE_R4,short,IS,21,B,2026-01-29,2026-01-29,2026-01-28,2026-02-12,2026-02-12,2026-01-29T15:59:00-05:00,2026-02-12T15:00:00-05:00,14,10,2026-02-12,,14,14.0,14,10,10.0,10,335.01666666666665,335.01666666666665,335.01666666666665,True,8,0,0,0,0,84637.3544578,26402.844,137093.8811428,111040.1984578,2,1,84637.3544578,58234.5104578,42318.6772289,35956.3703,35933.648799999995
BRIDGE_R4,short,IS,22,A,2026-02-05,2026-02-05,2026-02-04,2026-02-19,2026-02-19,2026-02-05T15:59:00-05:00,2026-02-19T15:00:00-05:00,14,9,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,23,B,2026-02-12,2026-02-12,2026-02-11,2026-02-26,2026-02-26,2026-02-12T15:59:00-05:00,2026-02-26T15:00:00-05:00,14,9,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,24,A,2026-02-19,2026-02-19,2026-02-18,2026-03-05,2026-03-05,2026-02-19T15:59:00-05:00,2026-03-05T15:00:00-05:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,25,B,2026-02-26,2026-02-26,2026-02-25,2026-03-12,2026-03-12,2026-02-26T15:59:00-05:00,2026-03-12T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,26,A,2026-03-05,2026-03-05,2026-03-04,2026-03-19,2026-03-19,2026-03-05T15:59:00-05:00,2026-03-19T15:00:00-04:00,14,10,2026-03-19,,14,14.0,14,10,10.0,10,334.01666666666665,334.01666666666665,334.01666666666665,True,8,0,0,0,0,91421.18019560003,2529.3,93950.48019560003,93950.48019560003,1,1,91421.18019560003,88891.88019560002,45710.59009780001,33308.43,33309.93
BRIDGE_R4,short,IS,27,B,2026-03-12,2026-03-12,2026-03-11,2026-03-26,2026-03-26,2026-03-12T15:59:00-04:00,2026-03-26T15:00:00-04:00,14,10,2026-03-26,,14,14.0,14,10,10.0,10,335.01666666666665,335.01666666666665,335.03333333333336,True,8,0,0,0,0,92017.12026560004,35202.965000000004,127220.08526560004,127220.08526560004,2,1,92017.12026560004,56814.155265600035,46008.56013280002,33390.600000000006,33375.0178
BRIDGE_R4,short,IS,28,A,2026-03-19,2026-03-19,2026-03-18,2026-04-02,2026-04-02,2026-03-19T15:59:00-04:00,2026-04-02T15:00:00-04:00,14,10,2026-04-02,165,14,14,14,10,10,10,335.01666666666665,335.01666666666665,335.01666666666665,True,8,0,0,1,1,96132.62214079997,31834.461600000002,160553.9530478,127967.08374079998,2,1,96132.62214079997,64298.16054079997,48066.311070399985,35965.54150000001,35959.175
BRIDGE_R4,short,IS,29,B,2026-03-26,2026-03-26,2026-03-25,2026-04-09,2026-04-09,2026-03-26T15:59:00-04:00,2026-04-09T15:00:00-04:00,14,9,2026-04-09,,14,14.0,14,9,9.0,9,335.01666666666665,335.01666666666665,335.03333333333336,True,8,0,0,0,0,100739.1766358,35796.175,163881.6395658,136535.3516358,2,1,100739.1766358,64943.0016358,50369.5883179,35963.55,35939.3768
BRIDGE_R4,short,IS,30,A,2026-04-02,2026-04-02,2026-04-01,2026-04-16,2026-04-16,2026-04-02T15:59:00-04:00,2026-04-16T15:00:00-04:00,14,9,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,31,B,2026-04-09,2026-04-09,2026-04-08,2026-04-23,2026-04-23,2026-04-09T15:59:00-04:00,2026-04-23T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,32,A,2026-04-16,2026-04-16,2026-04-15,2026-04-30,2026-04-30,2026-04-16T15:59:00-04:00,2026-04-30T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,33,B,2026-04-23,2026-04-23,2026-04-22,2026-05-07,2026-05-07,2026-04-23T15:59:00-04:00,2026-05-07T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,34,A,2026-04-30,2026-04-30,2026-04-29,2026-05-14,2026-05-14,2026-04-30T15:59:00-04:00,2026-05-14T15:00:00-04:00,14,10,,,,,,,,,,,,False,0,0,0,0,0,,,,,,,,,,,
BRIDGE_R4,short,IS,35,B,2026-05-07,2026-05-07,2026-05-06,2026-05-21,2026-05-21,2026-05-07T15:59:00-04:00,2026-05-21T15:00:00-04:00,14,10,2026-05-21|2026-06-12,,14,14.0,36,10,10.0,25,335.01666666666665,335.01666666666665,857.5166666666667,True,8,0,1,0,0,102777.97713899997,7900.18,110678.15713899997,110678.15713899997,2,2,102777.97713899997,94877.79713899997,51388.98856949998,30778.085,30767.71
BRIDGE_R4,short,IS,36,A,2026-05-14,2026-05-14,2026-05-13,2026-05-28,2026-05-28,2026-05-14T15:59:00-04:00,2026-05-28T15:00:00-04:00,14,9,2026-05-28,109,14,14.0,14,9,9.0,9,335.01666666666665,335.01666666666665,335.05,True,8,0,0,2,2,98916.52960899999,42437.9708,141354.500409,141354.500409,3,2,98916.52960899999,56478.55880899999,49458.264804499995,25470.004,25502.750000000004
BRIDGE_R4,short,IS,37,B,2026-05-21,2026-05-21,2026-05-20,2026-06-04,2026-06-04,2026-05-21T15:59:00-04:00,2026-06-04T15:00:00-04:00,14,9,2026-06-04|2026-06-10|2026-07-30,102,14,14,70,9,9,47,335.01666666666665,335.01666666666665,1673.5166666666667,True,8,0,2,1,1,101645.5549465,37538.7918,166828.802659,139184.3467465,4,3,101645.5549465,64106.763146499994,50822.77747325,35834.53,35822.881
