book,sessions_in_account,intended,completed,documented_event_open,unresolved,wins,losses,flats,hit_rate,avg_win,avg_loss,payoff_ratio,profit_factor,gross_pnl,modeled_net,net_double_spread,net_borrow_10,net_borrow_30,completed_net_through_cutoff,september_runoff_net,september_runoff_trades,per_session_basis,net_per_session,max_dd_dollars,max_dd_percent,worst_day,time_underwater_sessions,red_calendar_months,red_month_loss_sum,worst_month,median_month,mean_gross,peak_gross,exposure_dollar_days,turnover_entry_notional,tier_contribution,aug31_equity,aug31_open_tickets,aug31_stale_gross
PARENT/R1/LEGACY_FILL_QTY/IS,251,200,200,0,0,91,109,0,0.455,743.9279,-591.9092,1.2568,1.0493,5208.4919,3179.341,1524.5802,80.6209,-6116.8193,3179.341,0,0,251 account sessions in this split-owned book,12.6667,-27222.8263,-0.2722,-5071.614,239,6,-28464.3815,-10247.5582,494.077,31452.7467,97441.275,7894639.4283,796797.5505,FULL=3179.3410324999954;HALF=0;QUARTER=0,103179.341,0,0
PARENT/R1/LEGACY_FILL_QTY/OOS,251,216,215,0,1,114,101,0,0.5302,799.2199,-571.8203,1.3977,1.5776,35439.6614,33357.2111,31663.3008,29995.1216,23270.9427,28380.3828,4976.8283,16,251 account sessions in this split-owned book,132.8973,-46273.0539,-0.3647,-37439.65,194,5,-22029.3104,-9592.3568,4847.5181,35655.7321,114002.356,8949588.752,860820.8138,FULL=33357.2110988;HALF=0;QUARTER=0,133012.9561,17,0
PARENT/R1/LEGACY_FILL_QTY/ALL,251,416,415,0,1,205,210,0,0.494,774.6756,-582.2474,1.3305,1.2988,40648.1533,36536.5521,33187.881,30075.7426,17154.1234,31559.7239,4976.8283,16,251 account sessions in this split-owned book,145.564,-53079.5573,-0.3878,-37439.65,227,3,-25335.924,-10247.5582,3234.0379,67108.4788,114002.356,16844228.1803,1657618.3643,FULL=36536.55213129999;HALF=0;QUARTER=0,136192.2971,17,0
PARENT/R2/LEGACY_FILL_QTY/IS,251,200,200,0,0,104,96,0,0.52,945.1239,-594.8996,1.5887,1.7211,43199.0901,41182.5239,39551.2277,38157.9412,32108.7758,41182.5239,0,0,251 account sessions in this split-owned book,164.0738,-14273.2788,-0.1363,-7135.844,201,4,-7850.2725,-3848.1294,3203.5829,30629.6327,95763.4636,7688037.7977,796897.3917,FULL=41182.5239087;HALF=0;QUARTER=0,141182.5239,0,0
PARENT/R2/LEGACY_FILL_QTY/OOS,251,216,215,1,0,120,95,0,0.5581,1036.1189,-637.6714,1.6248,2.0524,65959.2422,63755.4924,61994.4827,60451.6477,53843.9582,55960.9615,7794.5309,16,251 account sessions in this split-owned book,254.0059,-23322.8102,-0.1692,-4871.1524,179,5,-12194.9666,-5796.9951,39.1574,35066.8822,104365.2317,8801787.4283,860733.7858,FULL=63755.4924108;HALF=0;QUARTER=0,165209.8824,17,3872.58
PARENT/R2/LEGACY_FILL_QTY/ALL,251,416,415,1,0,224,191,0,0.5398,993.8713,-616.1735,1.613,1.8917,109158.3322,104938.0163,101545.7104,98609.5889,85952.734,97143.4854,7794.5309,16,251 account sessions in this split-owned book,418.0797,-18004.8971,-0.135,-7135.844,179,2,-7527.0196,-4139.0853,8619.6078,65696.5148,107497.3789,16489825.2259,1657631.1775,FULL=104938.0163195;HALF=0;QUARTER=0,206392.4063,17,3872.58
PARENT/R1/CAUSAL_PREORDER_QTY/IS,251,200,200,0,0,91,109,0,0.455,743.594,-592.4762,1.2551,1.0478,5114.6658,3087.1411,1433.2064,-13.4085,-6214.5076,3087.1411,0,0,251 account sessions in this split-owned book,12.2994,-27165.8703,-0.2717,-5095.522,239,6,-28450.1834,-10252.8184,491.9539,31471.6687,97583.455,7899388.843,797198.1648,FULL=3087.141079799995;HALF=0;QUARTER=0,103087.1411,0,0
PARENT/R1/CAUSAL_PREORDER_QTY/OOS,251,216,215,0,1,114,101,0,0.5302,799.1375,-572.6241,1.3956,1.5752,35349.2081,33266.6365,31572.5849,29904.29,23179.597,28301.8214,4964.8151,16,251 account sessions in this split-owned book,132.5364,-45793.3355,-0.3611,-37037.535,194,5,-21969.4703,-9577.373,4819.1875,35623.0455,113433.165,8941384.4244,860827.1038,FULL=33266.6365155;HALF=0;QUARTER=0,132926.8692,17,0
PARENT/R1/CAUSAL_PREORDER_QTY/ALL,251,416,415,0,1,205,210,0,0.494,774.4816,-582.9283,1.3286,1.297,40463.8739,36353.7776,33005.7913,29890.8815,16965.0894,31388.9625,4964.8151,16,251 account sessions in this split-owned book,144.8358,-52635.2676,-0.3849,-37037.535,227,3,-25311.3141,-10252.8184,3146.9322,67094.7142,113433.165,16840773.2674,1658025.2686,FULL=36353.777595299995;HALF=0;QUARTER=0,136014.0103,17,0
PARENT/R2/CAUSAL_PREORDER_QTY/IS,251,200,200,0,0,104,96,0,0.52,941.9627,-595.2603,1.5824,1.7143,42832.2388,40819.1335,39190.1082,37795.4933,31748.2129,40819.1335,0,0,251 account sessions in this split-owned book,162.626,-14264.5022,-0.1362,-7140.562,202,4,-7838.4376,-3828.9262,3163.3084,30619.8976,95956.1886,7685594.2887,796512.2391,FULL=40819.133481;HALF=0;QUARTER=0,140819.1335,0,0
PARENT/R2/CAUSAL_PREORDER_QTY/OOS,251,216,215,1,0,120,95,0,0.5581,1034.5631,-637.5531,1.6227,2.0497,65776.1235,63580.0334,61824.1333,60276.643,53669.8623,55882.5623,7697.4711,16,251 account sessions in this split-owned book,253.3069,-23289.3641,-0.1692,-4849.4907,179,5,-12331.2193,-5741.3672,88.7718,34993.5966,104177.7665,8783392.7578,860430.4097,FULL=63580.0333876;HALF=0;QUARTER=0,165050.7802,17,3797.53
PARENT/R2/CAUSAL_PREORDER_QTY/ALL,251,416,415,1,0,224,191,0,0.5398,991.5701,-616.296,1.6089,1.8869,108608.3623,104399.1669,101014.2414,98072.1363,85418.0752,96701.6958,7697.4711,16,251 account sessions in this split-owned book,415.9329,-18157.03,-0.1362,-7140.562,180,2,-7729.6142,-4315.4998,8337.3524,65613.4942,107386.3345,16468987.0465,1656942.6488,FULL=104399.1668686;HALF=0;QUARTER=0,205869.9137,17,3797.53
R4/R1/LEGACY_FILL_QTY/IS,251,200,200,0,0,91,109,0,0.455,759.735,-552.0973,1.3761,1.1488,10980.6916,8957.2845,7310.1073,5918.1566,-160.0992,8957.2845,0,0,251 account sessions in this split-owned book,35.6864,-22011.3075,-0.2201,-5950.37,239,5,-20899.8523,-6928.0481,677.9337,30838.4575,90345.73,7740452.8272,787378.5518,FULL=13916.711064;HALF=-4959.426604500003;QUARTER=0,108957.2845,0,0
R4/R1/LEGACY_FILL_QTY/OOS,251,216,215,0,1,114,101,0,0.5302,896.0838,-536.0375,1.6717,1.8868,50133.9153,48013.7656,46296.9359,44611.799,37807.8657,41942.588,6071.1776,16,251 account sessions in this split-owned book,191.2899,-59923.8991,-0.4299,-48747.75,190,5,-19605.9398,-8093.5925,4752.0645,37001.6836,126545.835,9287422.5782,879669.1499,FULL=52999.80434039999;HALF=-4986.038754900001;QUARTER=0,147211.0764,17,0
R4/R1/LEGACY_FILL_QTY/ALL,251,416,415,0,1,205,210,0,0.494,835.5582,-544.3733,1.5349,1.4984,61114.6069,56971.05,53607.0432,50529.9555,37647.7665,50899.8724,6071.1776,16,251 account sessions in this split-owned book,226.9763,-67389.1451,-0.4325,-48747.75,225,4,-22338.7409,-7719.4887,7060.0107,67840.1411,126545.835,17027875.4054,1667047.7017,FULL=66916.5154044;HALF=-9945.465359400003;QUARTER=0,156168.3609,17,0
R4/R2/LEGACY_FILL_QTY/IS,251,200,200,0,0,104,96,0,0.52,971.9468,-560.2539,1.7348,1.8794,49230.2812,47298.0924,45732.5237,44373.7116,38524.9499,47298.0924,0,0,251 account sessions in this split-owned book,188.4386,-12452.0106,-0.1172,-8912.34,195,3,-7084.0339,-4820.1501,4022.0523,29591.1608,95649.8238,7427381.357,774504.5878,FULL=41718.977451700004;HALF=5579.114979199998;QUARTER=0,147298.0924,0,0
R4/R2/LEGACY_FILL_QTY/OOS,251,216,215,1,0,120,95,0,0.5581,1039.2984,-608.6637,1.7075,2.1569,69018.7713,66892.7572,65191.603,63636.7934,57124.8659,58229.5888,8663.1684,16,251 account sessions in this split-owned book,266.505,-22110.797,-0.1655,-5136.9289,181,5,-13550.2486,-5847.1528,2871.4039,35608.518,115882.4814,8937738.0207,848972.2385,FULL=51601.468076799996;HALF=15291.289119100002;QUARTER=0,167357.0866,17,4983.32
