symbol,observed_session,resolution,event_type,canonical_price_factor,canonical_status,applied_as_canonical_event,observed_price_ratio,residual_discontinuity_after_factor,filing_form,filing_date,filing_items,source,ratio_text,issuer,cik,evidence_status,filing_candidates,cohorts_touched,roles,note
AAOI,2025-12-22,NO_ACTION_FILING_FOUND,,,,False,1.249042,,,,,,,"APPLIED OPTOELECTRONICS, INC.",1158114,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ABAT,2025-10-13,NO_ACTION_FILING_FOUND,,,,False,1.36447,,,,,,,AMERICAN BATTERY TECHNOLOGY Co,1576873,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-10-15,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ABAT,2025-10-14,NO_ACTION_FILING_FOUND,,,,False,1.23102,,,,,,,AMERICAN BATTERY TECHNOLOGY Co,1576873,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-10-15,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ABAT,2025-10-15,NO_ACTION_FILING_FOUND,,,,False,0.787225,,,,,,,AMERICAN BATTERY TECHNOLOGY Co,1576873,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-10-15,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ABCL,2026-08-10,NO_ACTION_FILING_FOUND,,,,False,1.263158,,,,,,,AbCellera Biologics Inc.,1703057,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-08-19;2026-08-26,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ABSI,2026-06-24,NO_ACTION_FILING_FOUND,,,,False,1.288618,,,,,,,Absci Corp,1672688,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-07-01;2026-07-08,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ACHC,2026-02-25,NO_ACTION_FILING_FOUND,,,,False,1.211538,,,,,,,"Acadia Healthcare Company, Inc.",1520697,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-02-25;2026-03-04;2026-03-11,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
ADEA,2025-12-22,NO_ACTION_FILING_FOUND,,,,False,1.267606,,,,,,,Adeia Inc.,1803696,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-12-24;2025-12-31;2026-01-07,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEHR,2025-08-25,NO_ACTION_FILING_FOUND,,,,False,1.355979,,,,,,,AEHR TEST SYSTEMS,1040470,UNRESOLVED_NO_FILING_EVIDENCE,0,2025-09-10,ranking_window_shortlist,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEHR,2026-02-11,NO_ACTION_FILING_FOUND,,,,False,1.262766,,,,,,,AEHR TEST SYSTEMS,1040470,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-02-25;2026-03-04,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEHR,2026-02-12,NO_ACTION_FILING_FOUND,,,,False,0.8232,,,,,,,AEHR TEST SYSTEMS,1040470,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-02-25;2026-03-04,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
AEHR,2026-03-31,NO_ACTION_FILING_FOUND,,,,False,1.231485,,,,,,,AEHR TEST SYSTEMS,1040470,UNRESOLVED_NO_FILING_EVIDENCE,0,2026-04-08;2026-04-15,ranking_window_shortlist;recorded_selection_window,no issuer filing in the surrounding window states a split ratio; treated as a price move unless later evidence appears
