completed,cumulative_net_completed,family,holding_age,note,panel,split,tickets
0,-1019.8243467000001,PARENT,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,IS,200
200,11280.435350443997,PARENT,1,,LEGACY_FILL_QTY,IS,200
200,24120.1634622,PARENT,2,,LEGACY_FILL_QTY,IS,200
200,24729.7529446,PARENT,3,,LEGACY_FILL_QTY,IS,200
200,23817.617225799997,PARENT,4,,LEGACY_FILL_QTY,IS,200
200,26472.430332,PARENT,5,,LEGACY_FILL_QTY,IS,200
200,34037.387786367995,PARENT,6,,LEGACY_FILL_QTY,IS,200
200,32942.593331,PARENT,7,,LEGACY_FILL_QTY,IS,200
200,43411.497429300005,PARENT,8,,LEGACY_FILL_QTY,IS,200
200,41929.1474193,PARENT,9,,LEGACY_FILL_QTY,IS,200
200,41182.5239087,PARENT,10,,LEGACY_FILL_QTY,IS,200
0,-1126.5108708,PARENT,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,OOS,216
216,5502.975172999998,PARENT,1,,LEGACY_FILL_QTY,OOS,216
215,20113.9878611,PARENT,2,,LEGACY_FILL_QTY,OOS,216
215,33208.9438938,PARENT,3,,LEGACY_FILL_QTY,OOS,216
215,33830.7271438,PARENT,4,,LEGACY_FILL_QTY,OOS,216
215,37638.8134257,PARENT,5,,LEGACY_FILL_QTY,OOS,216
215,43931.4753058,PARENT,6,,LEGACY_FILL_QTY,OOS,216
215,54440.1242589,PARENT,7,,LEGACY_FILL_QTY,OOS,216
215,63526.519418799995,PARENT,8,,LEGACY_FILL_QTY,OOS,216
215,69928.6512203,PARENT,9,,LEGACY_FILL_QTY,OOS,216
215,63755.4924108,PARENT,10,,LEGACY_FILL_QTY,OOS,216
0,-2146.3352175,PARENT,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",LEGACY_FILL_QTY,ALL,416
416,16783.410523443996,PARENT,1,,LEGACY_FILL_QTY,ALL,416
415,44234.1513233,PARENT,2,,LEGACY_FILL_QTY,ALL,416
415,57938.6968384,PARENT,3,,LEGACY_FILL_QTY,ALL,416
415,57648.344369599996,PARENT,4,,LEGACY_FILL_QTY,ALL,416
415,64111.2437577,PARENT,5,,LEGACY_FILL_QTY,ALL,416
415,77968.863092168,PARENT,6,,LEGACY_FILL_QTY,ALL,416
415,87382.7175899,PARENT,7,,LEGACY_FILL_QTY,ALL,416
415,106938.0168481,PARENT,8,,LEGACY_FILL_QTY,ALL,416
415,111857.79863959999,PARENT,9,,LEGACY_FILL_QTY,ALL,416
415,104938.0163195,PARENT,10,,LEGACY_FILL_QTY,ALL,416
0,-1017.9928941000001,PARENT,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,IS,200
200,11286.738435843996,PARENT,1,,CAUSAL_PREORDER_QTY,IS,200
200,24025.5162458,PARENT,2,,CAUSAL_PREORDER_QTY,IS,200
200,24571.464165799996,PARENT,3,,CAUSAL_PREORDER_QTY,IS,200
200,23608.088537799995,PARENT,4,,CAUSAL_PREORDER_QTY,IS,200
200,26359.9613077,PARENT,5,,CAUSAL_PREORDER_QTY,IS,200
200,33946.020553967996,PARENT,6,,CAUSAL_PREORDER_QTY,IS,200
200,32783.0216621,PARENT,7,,CAUSAL_PREORDER_QTY,IS,200
200,43211.9075757,PARENT,8,,CAUSAL_PREORDER_QTY,IS,200
200,41572.534116099996,PARENT,9,,CAUSAL_PREORDER_QTY,IS,200
200,40819.133481,PARENT,10,,CAUSAL_PREORDER_QTY,IS,200
0,-1122.6295957,PARENT,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,OOS,216
216,5359.692760699999,PARENT,1,,CAUSAL_PREORDER_QTY,OOS,216
215,20037.5510514,PARENT,2,,CAUSAL_PREORDER_QTY,OOS,216
215,33134.0476805,PARENT,3,,CAUSAL_PREORDER_QTY,OOS,216
215,33730.1060171,PARENT,4,,CAUSAL_PREORDER_QTY,OOS,216
215,37490.6635254,PARENT,5,,CAUSAL_PREORDER_QTY,OOS,216
215,43785.184434,PARENT,6,,CAUSAL_PREORDER_QTY,OOS,216
215,54292.4653213,PARENT,7,,CAUSAL_PREORDER_QTY,OOS,216
215,63352.8909239,PARENT,8,,CAUSAL_PREORDER_QTY,OOS,216
215,69731.215034,PARENT,9,,CAUSAL_PREORDER_QTY,OOS,216
215,63580.0333876,PARENT,10,,CAUSAL_PREORDER_QTY,OOS,216
0,-2140.6224898,PARENT,0,"cross-trade holding-age curve, not an account equity curve; H0 is entry cost state",CAUSAL_PREORDER_QTY,ALL,416
416,16646.431196543996,PARENT,1,,CAUSAL_PREORDER_QTY,ALL,416
415,44063.0672972,PARENT,2,,CAUSAL_PREORDER_QTY,ALL,416
415,57705.511846299996,PARENT,3,,CAUSAL_PREORDER_QTY,ALL,416
415,57338.194554899994,PARENT,4,,CAUSAL_PREORDER_QTY,ALL,416
415,63850.624833099995,PARENT,5,,CAUSAL_PREORDER_QTY,ALL,416
415,77731.204987968,PARENT,6,,CAUSAL_PREORDER_QTY,ALL,416
