cohort_id,split,R0_RAW_CACHE_TOP8,R1_RECORDED_TOP8,R2_CERTIFIED_TOP8,raw_field_size,certified_field_size,membership_change_vs_recorded,order_only_change_vs_recorded,added_vs_recorded,dropped_vs_recorded,unrankable_unresolved
2025-09-03,IS,LCID;SATS;MLYS;IREN;ZEPP;ARWR;DK;PLYM,SATS;MLYS;IREN;ZEPP;ARWR;DK;PLYM;FTRE,SOGP;SATS;MLYS;IREN;ZEPP;ARWR;DK;PLYM,1277,1290,True,False,SOGP,FTRE,0
2025-09-10,IS,LCID;OXLC;MLYS;SUPX;TRML;KRRO;NKTR;IREN,MLYS;SUPX;TRML;KRRO;NKTR;IREN;DNTH;SNDK,OCTO;SOGP;MLYS;SUPX;FORD;TRML;KRRO;NKTR,1282,1300,True,False,OCTO;SOGP;FORD,IREN;DNTH;SNDK,0
2025-09-17,IS,LCID;OXLC;MLYS;TRML;NKTR;INOD;HYPD;CIFR,MLYS;TRML;NKTR;INOD;HYPD;CIFR;RAPP;IREN,TURB;HSDT;FORD;MLYS;TRML;NKTR;INOD;HYPD,1297,1315,True,False,TURB;HSDT;FORD,CIFR;RAPP;IREN,0
2025-09-24,IS,VOR;OXLC;GMRE;BETR;QURE;BKKT;FORD;NKTR,BETR;QURE;BKKT;FORD;NKTR;RGTI;TRML;INOD,BREA;BETR;QURE;BKKT;FORD;NKTR;RGTI;TRML,1306,1329,True,False,BREA,INOD,0
2025-10-01,OOS,VOR;WOLF;BKKT;QURE;BETR;FLNC;CLPT;SKYT,WOLF;BKKT;QURE;BETR;FLNC;CLPT;SKYT;RGTI,BREA;BKKT;QURE;BETR;MFH;EFTY;HSDT;FLNC,1324,1358,True,False,BREA;MFH;EFTY;HSDT,WOLF;CLPT;SKYT;RGTI,0
2025-10-08,OOS,VOR;WOLF;QURE;BKKT;GMRE;DGNX;MFH;CLPT,WOLF;QURE;BKKT;DGNX;MFH;CLPT;BETR;DPRO,QURE;BKKT;BQ;GLTO;DGNX;MFH;CLPT;BETR,1316,1346,True,False,BQ;GLTO,WOLF;DPRO,0
2025-10-15,OOS,WOLF;STI;NVA;CRML;NUKK;AQMS;NVTS;BKKT,WOLF;STI;NVA;CRML;NUKK;AQMS;NVTS;BKKT,STI;TMQ;NVA;CRML;NUKK;AQMS;NVTS;BLBX,1297,1323,True,False,TMQ;BLBX,WOLF;BKKT,0
2025-10-22,OOS,ETHZ;CRML;NVTS;VICR;UAMY;NVA;ATXS;CELC,CRML;NVTS;VICR;UAMY;NVA;ATXS;CELC;PMI,GSIT;ANRO;CRML;NVTS;VICR;UAMY;NVA;ATXS,1259,1287,True,False,GSIT;ANRO,CELC;PMI,0
2025-10-29,OOS,ETHZ;GSIT;SUPV;INBX;ANRO;REPL;EDN;GGAL,GSIT;SUPV;INBX;ANRO;REPL;EDN;GGAL;BBAR,WKEY;GSIT;SUPV;INBX;ANRO;REPL;EDN;GGAL,1275,1301,True,False,WKEY,BBAR,0
2025-11-05,IS,ETHZ;TERN;PUMP;SUPV;NEGG;BBAR;GGAL;TCMD,TERN;PUMP;SUPV;NEGG;BBAR;GGAL;TCMD;MBX,EVOK;TERN;PUMP;SUPV;NEGG;BBAR;GGAL;TCMD,1339,1373,True,False,EVOK,MBX,0
