model,level,key,r1_net,r2_net,delta,common_tickets,common_difference,added_tickets,added_net,dropped_tickets,dropped_net_removed
PARENT,TOTAL,ALL,36536.55,104938.02,68401.46,330,0.0,85,65474.53,85,2926.93
PARENT,COHORT,2025-09-03,-2911.64,-1160.78,1750.85,,,,,,
PARENT,COHORT,2025-09-10,-2807.92,852.46,3660.38,,,,,,
PARENT,COHORT,2025-09-17,-3138.17,2949.94,6088.11,,,,,,
PARENT,COHORT,2025-09-24,-7880.76,-5577.66,2303.1,,,,,,
PARENT,COHORT,2025-10-01,-4062.89,3432.63,7495.52,,,,,,
PARENT,COHORT,2025-10-08,6873.91,7646.66,772.75,,,,,,
PARENT,COHORT,2025-10-15,11141.22,10567.62,-573.6,,,,,,
PARENT,COHORT,2025-10-22,6879.17,5157.07,-1722.11,,,,,,
PARENT,COHORT,2025-10-29,2598.92,4390.5,1791.59,,,,,,
PARENT,COHORT,2025-11-05,1308.1,1646.03,337.93,,,,,,
PARENT,COHORT,2025-11-12,-2659.82,-1269.96,1389.86,,,,,,
PARENT,COHORT,2025-11-19,-2006.0,178.97,2184.97,,,,,,
PARENT,COHORT,2025-11-26,-4496.49,-4496.49,0.0,,,,,,
PARENT,COHORT,2025-12-03,-895.45,290.96,1186.41,,,,,,
PARENT,COHORT,2025-12-10,413.84,3014.64,2600.8,,,,,,
PARENT,COHORT,2025-12-17,785.41,1037.63,252.22,,,,,,
PARENT,COHORT,2025-12-24,-6000.28,-5930.14,70.13,,,,,,
PARENT,COHORT,2025-12-31,-5104.02,-4501.03,602.98,,,,,,
PARENT,COHORT,2026-01-07,-4654.59,-3229.85,1424.74,,,,,,
PARENT,COHORT,2026-01-14,5393.21,6958.11,1564.89,,,,,,
PARENT,COHORT,2026-01-21,6551.17,8210.81,1659.64,,,,,,
PARENT,COHORT,2026-01-28,3666.11,5457.05,1790.95,,,,,,
PARENT,COHORT,2026-02-04,2477.99,2477.99,0.0,,,,,,
PARENT,COHORT,2026-02-11,-1429.56,-1911.59,-482.02,,,,,,
PARENT,COHORT,2026-02-18,-1106.12,-1212.64,-106.51,,,,,,
PARENT,COHORT,2026-02-25,-1578.77,-1578.77,0.0,,,,,,
PARENT,COHORT,2026-03-04,50.68,2439.65,2388.98,,,,,,
PARENT,COHORT,2026-03-11,4295.33,4295.33,0.0,,,,,,
PARENT,COHORT,2026-03-18,3173.88,3173.88,0.0,,,,,,
PARENT,COHORT,2026-03-25,44.2,44.2,0.0,,,,,,
PARENT,COHORT,2026-04-01,752.7,2381.79,1629.09,,,,,,
PARENT,COHORT,2026-04-08,-1573.7,-119.01,1454.69,,,,,,
PARENT,COHORT,2026-04-15,-1424.27,-3450.2,-2025.93,,,,,,
PARENT,COHORT,2026-04-22,-2455.2,-7844.89,-5389.69,,,,,,
PARENT,COHORT,2026-04-29,1014.07,5189.47,4175.4,,,,,,
PARENT,COHORT,2026-05-06,-3438.35,-2137.83,1300.52,,,,,,
PARENT,COHORT,2026-05-13,448.82,41.87,-406.94,,,,,,
PARENT,COHORT,2026-05-20,2487.12,4018.64,1531.52,,,,,,
PARENT,COHORT,2026-05-27,4410.25,6670.84,2260.59,,,,,,
PARENT,COHORT,2026-06-03,3593.81,8097.41,4503.6,,,,,,
PARENT,COHORT,2026-06-10,3973.03,11033.69,7060.66,,,,,,
PARENT,COHORT,2026-06-17,8912.5,8272.59,-639.91,,,,,,
PARENT,COHORT,2026-06-24,3104.15,2163.74,-940.42,,,,,,
PARENT,COHORT,2026-07-01,6728.06,4601.84,-2126.23,,,,,,
PARENT,COHORT,2026-07-08,3817.79,5658.52,1840.73,,,,,,
PARENT,COHORT,2026-07-15,-2119.64,1258.79,3378.43,,,,,,
PARENT,COHORT,2026-07-22,-2479.82,-920.1,1559.72,,,,,,
PARENT,COHORT,2026-07-29,-602.16,1518.27,2120.43,,,,,,
PARENT,COHORT,2026-08-05,-1090.94,4279.33,5370.27,,,,,,
PARENT,COHORT,2026-08-12,2580.86,3075.52,494.66,,,,,,
PARENT,COHORT,2026-08-19,3629.32,8468.66,4839.33,,,,,,
PARENT,COHORT,2026-08-26,1347.5,-674.13,-2021.63,,,,,,
PARENT,SYMBOL_EFFECT,AGL,,,-5245.04,,,,,,
PARENT,SYMBOL_EFFECT,ASTC,,,5183.23,,,,,,
PARENT,SYMBOL_EFFECT,RGC,,,4341.94,,,,,,
PARENT,SYMBOL_EFFECT,STI,,,4306.37,,,,,,
PARENT,SYMBOL_EFFECT,DFNS,,,4215.28,,,,,,
PARENT,SYMBOL_EFFECT,VEEE,,,4060.5,,,,,,
PARENT,SYMBOL_EFFECT,WETO,,,3517.32,,,,,,
PARENT,SYMBOL_EFFECT,OCG,,,3490.68,,,,,,
PARENT,SYMBOL_EFFECT,AKAN,,,3427.03,,,,,,
PARENT,SYMBOL_EFFECT,UGRO,,,3314.56,,,,,,
PARENT,SYMBOL_EFFECT,GLTO,,,3157.25,,,,,,
PARENT,SYMBOL_EFFECT,BREA,,,3060.89,,,,,,
PARENT,SYMBOL_EFFECT,INBS,,,2998.35,,,,,,
PARENT,SYMBOL_EFFECT,PMI,,,-2990.01,,,,,,
PARENT,SYMBOL_EFFECT,ZVZZT,,,-2850.34,,,,,,
R4,TOTAL,ALL,56971.05,114190.85,57219.8,330,-9296.59,85,69859.65,85,-3343.26
R4,COHORT,2025-09-03,-2042.06,169.24,2211.3,,,,,,
R4,COHORT,2025-09-10,-2190.16,512.03,2702.19,,,,,,
R4,COHORT,2025-09-17,-2509.07,3215.58,5724.65,,,,,,
R4,COHORT,2025-09-24,-5535.87,-3178.85,2357.02,,,,,,
R4,COHORT,2025-10-01,-3311.61,3288.15,6599.75,,,,,,
R4,COHORT,2025-10-08,7435.65,8430.36,994.71,,,,,,
R4,COHORT,2025-10-15,11815.42,7879.55,-3935.87,,,,,,
R4,COHORT,2025-10-22,7895.7,4852.68,-3043.02,,,,,,
R4,COHORT,2025-10-29,3332.03,4483.75,1151.72,,,,,,
R4,COHORT,2025-11-05,2832.64,3291.37,458.73,,,,,,
R4,COHORT,2025-11-12,-3009.55,-2109.32,900.24,,,,,,
R4,COHORT,2025-11-19,-1625.75,284.88,1910.63,,,,,,
R4,COHORT,2025-11-26,-5250.05,-5250.05,0.0,,,,,,
R4,COHORT,2025-12-03,-1083.98,-515.58,568.4,,,,,,
R4,COHORT,2025-12-10,348.56,1452.11,1103.54,,,,,,
R4,COHORT,2025-12-17,1070.87,865.32,-205.55,,,,,,
R4,COHORT,2025-12-24,-3280.61,-5987.04,-2706.43,,,,,,
R4,COHORT,2025-12-31,-6024.01,-5130.56,893.46,,,,,,
R4,COHORT,2026-01-07,-4804.95,-2967.65,1837.3,,,,,,
R4,COHORT,2026-01-14,5225.17,7362.41,2137.24,,,,,,
R4,COHORT,2026-01-21,5102.03,6681.21,1579.18,,,,,,
R4,COHORT,2026-01-28,4334.99,6642.91,2307.92,,,,,,
R4,COHORT,2026-02-04,2747.59,2747.59,0.0,,,,,,
R4,COHORT,2026-02-11,-2759.33,-3069.43,-310.1,,,,,,
R4,COHORT,2026-02-18,-1058.61,-1658.12,-599.52,,,,,,
