cohort_id,entry_date,equity_scaled_intended_cohort_notional,equity_scaled_realized_cohort_pnl,fixed_dollar_intended_cohort_notional,fixed_dollar_realized_cohort_pnl,incremental_pnl_from_equity_scaling,post_entry_gross_over_equity,post_entry_marked_equity,post_entry_marked_gross_exposure,pre_entry_marked_gross_exposure,scale_factor_vs_100k,signal_date,signal_session_reference_equity,sizing_rule_id,split
2025-09-03,2025-09-04,29050.0,182.3,29050.0,182.3,0.0,0.2896,99966.36,28951.04,0,1.0,2025-09-03,100000.0,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-09-10,2025-09-11,27067.01,976.85,26975.0,977.52,-0.67,0.5494,100500.07,55216.11,28576.32,1.003411,2025-09-10,100341.09,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-09-17,2025-09-18,25353.31,3089.65,24900.0,3044.44,45.21,0.5094,100732.57,51310.95,53895.64,1.018205,2025-09-17,101820.54,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-09-24,2025-09-25,23533.88,-2637.32,22825.0,-2568.67,-68.65,0.4174,105464.88,44019.62,48937.8,1.031057,2025-09-24,103105.72,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-10-01,2025-10-02,25730.0,2750.53,24900.0,2661.82,88.71,0.5122,101213.57,51839.55,46151.16,1.033333,2025-10-01,103333.33,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-10-08,2025-10-09,39755.04,9184.67,39425.0,9110.05,74.62,0.6521,100904.05,65795.92,52215.99,1.008371,2025-10-08,100837.14,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-10-15,2025-10-16,20099.46,6801.26,18675.0,6334.72,466.54,0.5004,112007.09,56044.82,59072.32,1.076277,2025-10-15,107627.66,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-10-22,2025-10-23,48405.15,7869.01,39425.0,6412.75,1456.26,0.5551,119441.49,66298.59,45274.1,1.227778,2025-10-22,122777.8,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-10-29,2025-10-30,27866.4,4410.77,22825.0,3607.46,803.31,0.665,120279.76,79991.75,63652.87,1.220872,2025-10-29,122087.2,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-11-05,2025-11-06,34921.76,3456.79,26975.0,2649.23,807.56,0.4809,131623.38,63299.32,70811.78,1.294597,2025-11-05,129459.73,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-11-12,2025-11-13,43387.96,-2880.12,33200.0,-2200.0,-680.12,0.6013,134331.18,80773.63,64236.09,1.306866,2025-11-12,130686.62,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-11-19,2025-11-20,36110.72,265.26,26975.0,201.97,63.28,0.5969,137573.19,82114.06,81237.44,1.338674,2025-11-19,133867.37,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-11-26,2025-11-28,44619.33,-5681.2,33200.0,-4234.55,-1446.65,0.6359,133125.73,84651.51,85291.68,1.343956,2025-11-26,134395.57,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2025-12-03,2025-12-04,70023.84,-4037.03,51875.0,-2988.47,-1048.56,1.1345,134830.19,152964.92,82791.52,1.349857,2025-12-03,134985.72,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-12-10,2025-12-11,31866.95,1367.75,24900.0,1068.18,299.57,1.3717,119606.14,164062.02,124122.24,1.279797,2025-12-10,127979.72,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-12-17,2025-12-18,54251.07,577.62,41500.0,445.5,132.12,0.6835,126869.64,86714.32,102839.28,1.307255,2025-12-17,130725.48,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-12-24,2025-12-26,31766.46,-5664.0,26975.0,-4809.17,-854.82,0.809,118833.24,96137.08,95821.36,1.177626,2025-12-24,117762.6,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2025-12-31,2026-01-02,51759.12,-6243.17,43575.0,-5251.67,-991.5,1.2509,118440.17,148152.66,96188.64,1.187817,2025-12-31,118781.68,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-01-07,2026-01-08,29684.96,-2863.46,24900.0,-2388.26,-475.2,1.0489,118438.72,124230.05,93879.66,1.192167,2026-01-07,119216.7,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-01-14,2026-01-15,37413.52,12604.33,33200.0,11180.83,1423.49,1.1441,113248.32,129567.22,92728.64,1.126913,2026-01-14,112691.34,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-01-21,2026-01-22,33251.34,10576.41,26975.0,8573.78,2002.63,0.8233,119657.03,98509.96,61682.6,1.232673,2026-01-21,123267.26,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-01-28,2026-01-29,44163.77,7156.56,35275.0,5704.6,1451.96,0.8076,127015.95,102584.26,60532.62,1.251985,2026-01-28,125198.49,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-02-04,2026-02-05,39523.23,4274.34,29050.0,3134.56,1139.78,0.5842,140037.79,81811.24,68756.55,1.360524,2026-02-04,136052.42,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-02-11,2026-02-12,35935.26,-7635.69,24900.0,-5285.09,-2350.6,0.5387,143548.28,77333.25,77530.73,1.443183,2026-02-11,144318.3,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-02-18,2026-02-19,51723.7,-5257.22,35275.0,-3590.21,-1667.01,0.8493,147247.9,125051.63,74251.61,1.466299,2026-02-18,146629.92,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-02-25,2026-02-26,38419.5,-1955.24,29050.0,-1473.27,-481.97,0.9812,138890.75,136285.05,104640.09,1.32253,2026-02-25,132253.0,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-03-04,2026-03-05,35348.85,3329.66,26975.0,2553.67,775.99,0.6001,131152.2,78702.43,100752.07,1.31043,2026-03-04,131043.0,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-03-11,2026-03-12,51266.44,10854.76,39425.0,8340.27,2514.49,0.6787,131469.87,89229.75,79819.28,1.300353,2026-03-11,130035.35,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-03-18,2026-03-19,52643.48,8563.59,37350.0,6078.96,2484.62,0.7185,140606.89,101030.61,79753.2,1.409464,2026-03-18,140946.41,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-03-25,2026-03-26,49904.74,176.55,33200.0,117.65,58.9,0.6608,151181.69,99901.26,91322.02,1.503155,2026-03-25,150315.47,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
2026-04-01,2026-04-02,35779.24,5673.27,22825.0,3627.19,2046.08,0.5771,153979.05,88860.59,94328.34,1.567546,2026-04-01,156754.61,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-04-08,2026-04-09,45506.65,3915.14,29050.0,2500.61,1414.53,0.8629,154720.69,133501.99,86190.26,1.566494,2026-04-08,156649.38,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-04-15,2026-04-16,50542.99,-6574.44,31125.0,-4048.91,-2525.53,0.7957,160943.99,128057.37,76338.47,1.623871,2026-04-15,162387.13,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-04-22,2026-04-23,34972.0,-8953.6,22825.0,-5799.21,-3154.38,0.6398,153981.25,98512.63,105920.6,1.532179,2026-04-22,153217.94,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-04-29,2026-04-30,49717.32,9809.32,31125.0,6107.8,3701.53,0.5866,154547.36,90663.98,92759.53,1.597343,2026-04-29,159734.35,cg_arrow010_causal_signal_close_equity_scaling_v1,OOS
2026-05-06,2026-05-07,44175.83,2051.93,26975.0,1273.21,778.71,0.5809,155081.16,90091.42,81445.51,1.637658,2026-05-06,163765.83,cg_arrow010_causal_signal_close_equity_scaling_v1,IS
