comparison,cutoff,expected,is_cohorts,is_n,is_share,is_value,kind,met,oos_cohorts,oos_n,oos_net_per_dollar_contrast,oos_share,oos_value,status,value_basis
feature:sc_ret1,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.52,0.003964584430861587,continuous_feature,True,27,215,-0.01689498204344398,0.4444444444444444,-0.017249158624427028,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_ret3,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.6,0.04094174928463894,continuous_feature,True,27,215,-0.009047236218305698,0.5185185185185185,-0.008700285192834372,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_ret5,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.6,0.027362922895353314,continuous_feature,True,27,215,0.04549606551513462,0.5555555555555556,0.04572451603475563,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_ret10,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.6,0.058751166975114864,continuous_feature,False,27,215,0.11669457917717377,0.8148148148148148,0.11692756393405045,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_ret15,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,200,0.64,0.08563866450841544,continuous_feature,True,27,215,0.06361085055980505,0.7407407407407407,0.06380323011757628,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_ret15_to_5,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.56,0.029816265823180296,continuous_feature,False,27,215,-0.010848930180953386,0.6296296296296297,-0.011123826333858102,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_recent_minus_earlier,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.52,9.049236073119027e-05,continuous_feature,False,27,215,-0.004305698093535138,0.37037037037037035,-0.00400066198682006,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_acceleration_3,SIGNAL_CLOSE,no separation expected (not leading on IS),25,200,0.48,0.005791579090393314,continuous_feature,True,27,215,0.0024211591298421973,0.5185185185185185,0.0026898312458559543,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_largest_session_share_of_advance,SIGNAL_CLOSE,no separation expected (not leading on IS),25,199,0.68,0.043469482673183325,continuous_feature,False,27,213,0.09197608785113649,0.6666666666666666,0.0922213235157827,SEPARATION_APPEARED_POST_HOC,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_top3_sessions_share_of_advance,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,199,0.76,0.09708449809000103,continuous_feature,True,27,213,0.1135236878301093,0.6666666666666666,0.11378721104916373,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_up_sessions_15,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,199,0.24,-0.10122595131419965,continuous_feature,True,27,213,-0.09344680960975162,0.2962962962962963,-0.0936836884186813,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_logret_std_15,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,199,0.76,0.13749181127665328,continuous_feature,True,27,213,0.12021209555800097,0.7407407407407407,0.1204208603760312,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_gap_share_of_advance,SIGNAL_CLOSE,no separation expected (not leading on IS),25,199,0.52,-0.004765068018509708,continuous_feature,True,27,213,0.007948731119185488,0.48148148148148145,0.0076363235765914824,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_close_vs_high20,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.16,-0.16315742694892862,continuous_feature,True,27,210,-0.07848423036285306,0.3333333333333333,-0.07875283404276587,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_close_vs_max_close15,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.32,-0.1233801161254879,continuous_feature,True,27,210,-0.09883213813736474,0.2962962962962963,-0.09914852758379074,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_sessions_since_max_close15,SIGNAL_CLOSE,no separation expected (not leading on IS),25,198,0.52,0.007907823123545897,continuous_feature,True,27,210,-0.010018173485854839,0.48148148148148145,-0.010288720415832814,NO_SIGNAL_CONFIRMED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
feature:sc_position_in_range20,SIGNAL_CLOSE,same sign within-cohort contrast; one-sided share >= 0.62,25,198,0.16,-0.1636663365465659,continuous_feature,True,27,210,-0.0628855738925254,0.3333333333333333,-0.06320747928769464,REPLICATED,within-cohort mean of (top half minus bottom half by feature) of the ten-session short price return; frozen IS tercile cuts
