age,basis,condition,favorable_share,mean,median,observed,p10,p25,p75,p90,split,stale_or_absent,tickets
0,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,IS,0,200
1,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.58,0.016669010631952842,0.003846349983426367,200,-0.07154129405576004,-0.030691964285714413,0.05288461538461542,0.1201138050470063,IS,0,200
2,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.58,0.03271133421968033,0.007539056978669412,200,-0.10427600447388796,-0.035882908404154756,0.09890325107716402,0.19260431085623875,IS,0,200
3,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.57,0.033456256355513414,0.010933555011477414,200,-0.128364849833148,-0.04615384615384599,0.10049288061336259,0.24874791318864786,IS,0,200
4,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.555,0.03228638454036162,0.006169852008610033,200,-0.16460074949553172,-0.05879180151024799,0.11422944362383058,0.28763076923076925,IS,0,200
5,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.55,0.03560132344442233,0.016035642185232735,200,-0.1759972008397479,-0.06505996831862415,0.1417410714285715,0.2815508021390374,IS,0,200
6,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.555,0.04509555466271094,0.01289608169637635,200,-0.18945194872236093,-0.06692913385826782,0.1613809245172616,0.3386434950518947,IS,0,200
7,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.585,0.04370642152305884,0.020127009028464538,200,-0.18229531140657795,-0.07035549605830727,0.16724496877168638,0.3172320217096337,IS,0,200
8,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.59,0.056825071744122574,0.03410235467621775,200,-0.15272218334499654,-0.051084160235207676,0.18029823768639863,0.3617754794225383,IS,0,200
9,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.56,0.05495745244494596,0.025005086945230126,200,-0.1987545407368969,-0.06752937676632476,0.18785975928833065,0.37171924290220815,IS,0,200
10,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,all,0.53,0.05402227535557666,0.011733283331168132,200,-0.20655986349416988,-0.05942287669195312,0.21759259259259256,0.3674568965517242,IS,0,200
,archetype count: ADVERSE_THEN_FADE,all,,,,32,,,,,IS,,200
,archetype count: CONTINUATION,all,,,,58,,,,,IS,,200
,archetype count: FADE_THEN_REVERSAL,all,,,,34,,,,,IS,,200
,archetype count: IMMEDIATE_FADE,all,,,,74,,,,,IS,,200
,archetype count: OTHER,all,,,,2,,,,,IS,,200
1,incremental 0->1 session return,all,0.58,0.016669010631952842,0.003846349983426367,200,,,,,IS,0,200
2,incremental 1->2 session return,all,0.56,0.01604232358772749,0.00869557965589074,200,,,,,IS,0,200
3,incremental 2->3 session return,all,0.48,0.0007449221358330826,-0.0010509927315336953,200,,,,,IS,0,200
4,incremental 3->4 session return,all,0.485,-0.0011698718151517962,-0.0004425235508652148,200,,,,,IS,0,200
5,incremental 4->5 session return,all,0.57,0.0033149389040607125,0.006138483503894343,200,,,,,IS,0,200
6,incremental 5->6 session return,all,0.56,0.009494231218288608,0.003283073381497914,200,,,,,IS,0,200
7,incremental 6->7 session return,all,0.56,-0.001389133139652093,0.0029120595272621452,200,,,,,IS,0,200
8,incremental 7->8 session return,all,0.56,0.013118650221063729,0.0035671994862998546,200,,,,,IS,0,200
9,incremental 8->9 session return,all,0.525,-0.0018676192991766167,0.0005729183042000319,200,,,,,IS,0,200
10,incremental 9->10 session return,all,0.515,-0.0009351770893692979,0.00020990778861884607,200,,,,,IS,0,200
0,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,IS,0,2
1,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,-0.019623377745096093,-0.019623377745096093,2,-0.18084831799019208,-0.18084831799019208,0.1416015624999999,0.1416015624999999,IS,0,2
2,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.12071111885680597,0.12071111885680597,2,-0.10427600447388796,-0.10427600447388796,0.3456982421874999,0.3456982421874999,IS,0,2
3,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.093397004681809,0.093397004681809,2,-0.10226849063638199,-0.10226849063638199,0.2890625,0.2890625,IS,0,2
4,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.08159052397455469,0.08159052397455469,2,-0.17568613955089063,-0.17568613955089063,0.3388671875,0.3388671875,IS,0,2
5,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.165284344394376,0.165284344394376,2,-0.05810318621124799,-0.05810318621124799,0.388671875,0.388671875,IS,0,2
6,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.12353574438881954,0.12353574438881954,2,-0.18945194872236093,-0.18945194872236093,0.4365234375,0.4365234375,IS,0,2
7,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.16049486672438262,0.16049486672438262,2,-0.11846339155123475,-0.11846339155123475,0.439453125,0.439453125,IS,0,2
8,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.17041071638220917,0.17041071638220917,2,-0.13281137973558166,-0.13281137973558166,0.4736328125,0.4736328125,IS,0,2
9,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,0.5,0.22218456266669528,0.22218456266669528,2,-0.05953712466660943,-0.05953712466660943,0.50390625,0.50390625,IS,0,2
10,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=MISSING_FEATURE,1.0,0.317976608654894,0.317976608654894,2,0.10665634230978804,0.10665634230978804,0.529296875,0.529296875,IS,0,2
,archetype count: ADVERSE_THEN_FADE,state=MISSING_FEATURE,,,,1,,,,,IS,,2
,archetype count: IMMEDIATE_FADE,state=MISSING_FEATURE,,,,1,,,,,IS,,2
1,incremental 0->1 session return,state=MISSING_FEATURE,0.5,-0.019623377745096093,-0.019623377745096093,2,,,,,IS,0,2
2,incremental 1->2 session return,state=MISSING_FEATURE,1.0,0.14033449660190206,0.14033449660190206,2,,,,,IS,0,2
3,incremental 2->3 session return,state=MISSING_FEATURE,0.5,-0.027314114174996962,-0.027314114174996962,2,,,,,IS,0,2
4,incremental 3->4 session return,state=MISSING_FEATURE,0.5,-0.011806480707254319,-0.011806480707254319,2,,,,,IS,0,2
5,incremental 4->5 session return,state=MISSING_FEATURE,1.0,0.08369382041982132,0.08369382041982132,2,,,,,IS,0,2
6,incremental 5->6 session return,state=MISSING_FEATURE,0.5,-0.04174860000555647,-0.04174860000555647,2,,,,,IS,0,2
7,incremental 6->7 session return,state=MISSING_FEATURE,1.0,0.03695912233556309,0.03695912233556309,2,,,,,IS,0,2
8,incremental 7->8 session return,state=MISSING_FEATURE,0.5,0.009915849657826548,0.009915849657826548,2,,,,,IS,0,2
9,incremental 8->9 session return,state=MISSING_FEATURE,1.0,0.051773846284486114,0.051773846284486114,2,,,,,IS,0,2
10,incremental 9->10 session return,state=MISSING_FEATURE,1.0,0.09579204598819874,0.09579204598819874,2,,,,,IS,0,2
0,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=S1_FULL_weak_quiet,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,IS,0,30
1,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=S1_FULL_weak_quiet,0.5,0.01205461517144653,0.00011674060238159312,30,-0.038524001614796965,-0.03193882141250559,0.022600528324038582,0.16607301869991098,IS,0,30
2,close-only sizing-neutral short return at each age; age 0 and 10 use the execution reference,state=S1_FULL_weak_quiet,0.5,0.04452080487328573,0.0009345794392524032,30,-0.07507507507507505,-0.0346581025023418,0.08426483233018056,0.3177183797189308,IS,0,30
