base_ticket_component,basis,book_difference_from_daily_accounts,completed,difference,difference_FULL,difference_HALF,difference_QUARTER,difference_from_open_obligations,difference_from_r4_losers,difference_from_r4_winners,footnote,identity_residual,momentum_component,panel,period,quantity_convention,r4_total,r5_total,reconciliation_residual,rounding_residual,sizing_neutral_hit_rate,sizing_neutral_mean_price_return,tickets,tickets_with_negative_difference,tickets_with_positive_difference,top3_tickets_share_of_abs_difference
95.001434,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,-21.230782,12.90283,-353.333405,319.199793,0.0,429.393648,-450.62443,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",-0.0,-108.128562,LEGACY_FILL_QTY,2025-09-03,LEGACY_FILL_QTY,169.241871,148.01109,,-8.103654,0.375,-0.034434,8,2,6,0.796364
314.758947,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,471.092955,429.35333,154.00446,-112.264835,0.0,250.838725,220.25423,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.0,149.780118,LEGACY_FILL_QTY,2025-09-10,LEGACY_FILL_QTY,512.034595,983.12755,,6.553891,0.5,0.029099,8,3,5,0.718066
1966.980678,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,-98.234367,0.0,-108.96621,10.731843,0.0,158.462758,-256.697125,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",-0.0,-2068.660361,LEGACY_FILL_QTY,2025-09-17,LEGACY_FILL_QTY,3215.579177,3117.34481,,3.445316,0.5,0.094832,8,2,6,0.831994
-1953.372432,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,622.10242,0.0,-159.96092,782.06334,0.0,913.453725,-291.351305,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.0,2573.490665,LEGACY_FILL_QTY,2025-09-24,LEGACY_FILL_QTY,-3178.84813,-2556.74571,,1.984188,0.375,-0.17289,8,2,6,0.779438
2012.906931,SIGNAL_COHORT_EVENTUAL_COMPLETED,,7,-653.089419,0.0,-426.7864,-226.303019,0.0,363.884051,-1016.97347,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",-0.0,-2651.925005,LEGACY_FILL_QTY,2025-10-01,LEGACY_FILL_QTY,3288.14712,2635.057701,,-14.071345,0.571429,0.125219,8,4,3,0.736514
5173.71967,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,681.609246,1773.76134,-809.413653,-282.738441,0.0,449.57707,232.032176,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",-0.0,-4488.107694,LEGACY_FILL_QTY,2025-10-08,LEGACY_FILL_QTY,8430.359264,9111.96851,,-4.00273,0.875,0.241003,8,5,3,0.64175
4829.958458,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,-1534.687598,0.0,-416.688525,-1117.999073,0.0,0,-1534.687598,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",-0.0,-6363.278603,LEGACY_FILL_QTY,2025-10-15,LEGACY_FILL_QTY,7879.546196,6344.858598,,-1.367453,1.0,0.333999,8,8,0,0.556575
2973.980464,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,1564.76049,1903.68098,8.470485,-347.390975,0.0,-11.408265,1576.168755,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.0,-1407.188587,LEGACY_FILL_QTY,2025-10-22,LEGACY_FILL_QTY,4852.680258,6417.440748,,-2.031388,0.75,0.16415,8,4,4,0.921925
2747.112967,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,-872.87402,0.0,-647.05291,-225.82111,0.0,14.86281,-887.73683,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",-0.0,-3619.212321,LEGACY_FILL_QTY,2025-10-29,LEGACY_FILL_QTY,4483.754995,3610.880975,,-0.774665,0.875,0.139986,8,6,2,0.823453
2020.560867,SIGNAL_COHORT_EVENTUAL_COMPLETED,,8,-642.56015,0.0,-870.7188,228.15865,0.0,228.15865,-870.7188,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.0,-2662.008761,LEGACY_FILL_QTY,2025-11-05,LEGACY_FILL_QTY,3291.373475,2648.813325,,-1.112256,0.625,0.054782,8,5,3,0.632968
