basis,cohort_equal_weight_mean,cohorts,completed,entry_exposure,exposure_share_of_full_book,fixed_dollar_net,hit_rate,hypothetical_net_at_full_book_exposure,mean_price_return,median_price_return,n,name,net_per_entry_dollar,oos_status,probe,securities,set,split,subset
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.32739384808776467,25,25,111915.3986,0.14527584829981474,41386.622914199994,0.88,284883.0235620986,0.32739384808776467,0.3674568965517242,25,rank-1 only,0.3698027566530062,REPLICATED,P1,22,probe,IS,rank-1 only
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.014969193536692656,25,175,658449.393,0.8547241517001853,17283.718097899997,0.48,20221.39898997808,0.014969193536692656,-0.0014154281670204494,175,rank-1 only,0.026249121468777777,REPLICATED,P1,124,complement,IS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.05402227535557666,25,200,770364.7916,1.0,58670.3410121,0.53,58670.3410121,0.05402227535557666,0.011733283331168132,200,rank-1 only,0.07615916725665166,REPLICATED,P1,138,full_book,IS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.22127515359466624,27,27,143069.0515,0.16251995140019407,33542.0737709,0.7777777777777778,206387.4218637008,0.22127515359466624,0.29926351633142223,27,rank-1 only,0.2344467473519247,REPLICATED,P1,21,probe,OOS,rank-1 only
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.0561302141766683,27,188,737247.7974,0.8374800485998058,36652.2100826,0.5531914893617021,43764.87552614456,0.05612119073913016,0.035495902827731796,189,rank-1 only,0.04971491296665622,REPLICATED,P1,139,complement,OOS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.07708533392670791,27,215,880316.8489000001,1.0,70194.2838535,0.5813953488372093,70194.2838535,0.0768614558419184,0.053811659192825156,216,rank-1 only,0.07973752171301875,REPLICATED,P1,153,full_book,OOS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.2722937567163482,52,52,254984.45010000002,0.15447221550411375,74928.6966851,0.8269230769230769,485062.6142738568,0.2722937567163482,0.3606366874602104,52,rank-1 only,0.2938559455516382,REPLICATED,P1,39,probe,ALL,rank-1 only
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.03634126194591078,52,363,1395697.1904,0.8455277844958863,53935.9281805,0.5179063360881543,63789.65797399224,0.03628207363051704,0.0029756369722894194,364,rank-1 only,0.038644434159133205,REPLICATED,P1,223,complement,ALL,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.06599732499827943,52,415,1650681.6405,1.0,128864.6248656,0.5566265060240964,128864.6248656,0.06585462187259708,0.033483580167417926,416,rank-1 only,0.0780675217460868,REPLICATED,P1,246,full_book,ALL,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.1724268111576361,22,44,200840.595,0.26070842955175366,49018.310005,0.75,188019.65893193067,0.20309508571832557,0.16141527356110907,44,10-20 band and off-high,0.24406574778868784,REPLICATED,P2,37,probe,IS,10-20 band and off-high
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.013676457743527652,25,156,569524.1966,0.7392915704482463,9652.031007099997,0.46794871794871795,13055.783932782824,0.011976098073775683,-0.0020467346793267005,156,10-20 band and off-high,0.016947534564328633,REPLICATED,P2,110,complement,IS,complement
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.05402227535557666,25,200,770364.7916,1.0,58670.3410121,0.53,58670.3410121,0.05402227535557666,0.011733283331168132,200,10-20 band and off-high,0.07615916725665166,REPLICATED,P2,138,full_book,IS,full book
"research-only subset of the certified trades; unused exposure idle; hypothetical figure applies the subset's net per entry dollar to the full book's entry exposure; no compounded equity, no account drawdown",0.11601929600098869,20,46,213399.5044,0.24241215497198917,21659.8751414,0.717391304347826,89351.44008724648,0.13026073822727013,0.19714601081474614,47,10-20 band and off-high,0.10149918202621655,REPLICATED,P2,40,probe,OOS,10-20 band and off-high
