closure_reason,expected_rth_minutes,expected_window_minutes,in_independent_reference,is_early_close,period_role,session_close_et,session_date,session_open_et,signal_month,utc_offset_minutes,weekday
,390,720,True,False,WARMUP,16:00:00,2024-08-01,09:30:00,,,Thursday
,390,720,True,False,WARMUP,16:00:00,2024-08-02,09:30:00,,,Friday
,390,720,True,False,WARMUP,16:00:00,2024-08-05,09:30:00,,,Monday
,390,720,True,False,WARMUP,16:00:00,2024-08-06,09:30:00,,,Tuesday
,390,720,True,False,WARMUP,16:00:00,2024-08-07,09:30:00,,,Wednesday
,390,720,True,False,WARMUP,16:00:00,2024-08-08,09:30:00,,,Thursday
,390,720,True,False,WARMUP,16:00:00,2024-08-09,09:30:00,,,Friday
,390,720,True,False,WARMUP,16:00:00,2024-08-12,09:30:00,,,Monday
,390,720,True,False,WARMUP,16:00:00,2024-08-13,09:30:00,,,Tuesday
,390,720,True,False,WARMUP,16:00:00,2024-08-14,09:30:00,,,Wednesday
,390,720,True,False,WARMUP,16:00:00,2024-08-15,09:30:00,,,Thursday
,390,720,True,False,WARMUP,16:00:00,2024-08-16,09:30:00,,,Friday
,390,720,True,False,WARMUP,16:00:00,2024-08-19,09:30:00,,,Monday
,390,720,True,False,WARMUP,16:00:00,2024-08-20,09:30:00,,,Tuesday
,390,720,True,False,WARMUP,16:00:00,2024-08-21,09:30:00,,,Wednesday
,390,720,True,False,WARMUP,16:00:00,2024-08-22,09:30:00,,,Thursday
,390,720,True,False,WARMUP,16:00:00,2024-08-23,09:30:00,,,Friday
,390,720,True,False,WARMUP,16:00:00,2024-08-26,09:30:00,,,Monday
,390,720,True,False,WARMUP,16:00:00,2024-08-27,09:30:00,,,Tuesday
,390,720,True,False,WARMUP,16:00:00,2024-08-28,09:30:00,,,Wednesday
,390,720,True,False,WARMUP,16:00:00,2024-08-29,09:30:00,,,Thursday
,390,720,True,False,WARMUP,16:00:00,2024-08-30,09:30:00,,,Friday
,390,720,True,False,SIGNAL,16:00:00,2024-09-03,09:30:00,2024-09,,Tuesday
,390,720,True,False,SIGNAL,16:00:00,2024-09-04,09:30:00,2024-09,,Wednesday
,390,720,True,False,SIGNAL,16:00:00,2024-09-05,09:30:00,2024-09,,Thursday
,390,720,True,False,SIGNAL,16:00:00,2024-09-06,09:30:00,2024-09,,Friday
,390,720,True,False,SIGNAL,16:00:00,2024-09-09,09:30:00,2024-09,,Monday
,390,720,True,False,SIGNAL,16:00:00,2024-09-10,09:30:00,2024-09,,Tuesday
,390,720,True,False,SIGNAL,16:00:00,2024-09-11,09:30:00,2024-09,,Wednesday
,390,720,True,False,SIGNAL,16:00:00,2024-09-12,09:30:00,2024-09,,Thursday
,390,720,True,False,SIGNAL,16:00:00,2024-09-13,09:30:00,2024-09,,Friday
,390,720,True,False,SIGNAL,16:00:00,2024-09-16,09:30:00,2024-09,,Monday
,390,720,True,False,SIGNAL,16:00:00,2024-09-17,09:30:00,2024-09,,Tuesday
,390,720,True,False,SIGNAL,16:00:00,2024-09-18,09:30:00,2024-09,,Wednesday
,390,720,True,False,SIGNAL,16:00:00,2024-09-19,09:30:00,2024-09,,Thursday
,390,720,True,False,SIGNAL,16:00:00,2024-09-20,09:30:00,2024-09,,Friday
,390,720,True,False,SIGNAL,16:00:00,2024-09-23,09:30:00,2024-09,,Monday
,390,720,True,False,SIGNAL,16:00:00,2024-09-24,09:30:00,2024-09,,Tuesday
