account_view,cohort_hit_rate,cohorts,hold,legacy_id,median_cohort_pnl,model,profitable_cohorts,top3_cohort_share_of_total,top_cohort_share_of_total
EQUITY_SCALED,0.5192,52,8,C1,170.12,Rank-One 1.50x Reallocation,27,7.295084,2.657912
EQUITY_SCALED,0.5,52,9,C1,88.57,Rank-One 1.50x Reallocation,26,-0.44477,-0.160612
EQUITY_SCALED,0.5577,52,10,C1,548.4,Rank-One 1.50x Reallocation,29,15.778984,5.770685
FIXED_DOLLAR,0.5577,52,10,C1,596.18,Rank-One 1.50x Reallocation,29,2.581399,1.000453
EQUITY_SCALED,0.5192,52,10,C2,482.96,Off-High Substitution,27,1.700307,0.640616
FIXED_DOLLAR,0.5192,52,10,C2,387.48,Off-High Substitution,27,1.524983,0.639051
EQUITY_SCALED,0.5962,52,10,C3,524.24,Combined Reallocation and Substitution,31,1.476958,0.54737
FIXED_DOLLAR,0.5962,52,10,C3,427.96,Combined Reallocation and Substitution,31,1.357633,0.573376
FIXED_DOLLAR,0.4808,52,10,PARENT,-78.07,Equal-Dollar Short,25,5.474313,2.221077
FIXED_DOLLAR,0.4615,52,8,R4,-315.17,Volume-Sized Short,24,7.361315,2.655266
FIXED_DOLLAR,0.5,52,9,R4,-3.98,Volume-Sized Short,26,-1.745106,-0.767693
FIXED_DOLLAR,0.5192,52,10,R4,152.53,Volume-Sized Short,27,3.687732,1.733437
EQUITY_SCALED,0.4615,52,8,R5,-196.15,Momentum+Volume-Sized Short,24,-14.004134,-5.687844
EQUITY_SCALED,0.5,52,9,R5,-118.59,Momentum+Volume-Sized Short,26,-0.411838,-0.152015
EQUITY_SCALED,0.5577,52,10,R5,391.35,Momentum+Volume-Sized Short,29,-13.968633,-5.118316
FIXED_DOLLAR,0.4423,52,8,R5,-202.98,Momentum+Volume-Sized Short,23,5.385183,2.41949
FIXED_DOLLAR,0.5,52,9,R5,-349.34,Momentum+Volume-Sized Short,26,-1.576441,-0.62079
FIXED_DOLLAR,0.5577,52,10,R5,420.23,Momentum+Volume-Sized Short,29,3.784922,1.458494
