best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
1969.04,2024-09-04,8,4336.88,8,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-272.24
562.7,2024-09-11,8,-16841.1,8,C1,4,Rank-One 1.50x Reallocation,8,2024-09,4,-10818.75
893.04,2024-09-18,8,2.37,8,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-2242.85
1418.16,2024-09-25,8,2449.79,8,C1,2,Rank-One 1.50x Reallocation,8,2024-09,6,-1361.45
2041.89,2024-10-02,8,3169.62,8,C1,1,Rank-One 1.50x Reallocation,8,2024-10,7,-930.42
659.93,2024-10-09,8,-230.75,8,C1,5,Rank-One 1.50x Reallocation,8,2024-10,3,-1133.58
6465.18,2024-10-16,8,3624.39,8,C1,5,Rank-One 1.50x Reallocation,8,2024-10,3,-3135.39
3076.04,2024-10-23,8,4588.25,8,C1,2,Rank-One 1.50x Reallocation,8,2024-10,6,-1262.39
2769.0,2024-10-30,8,689.64,8,C1,4,Rank-One 1.50x Reallocation,8,2024-10,4,-2173.62
2610.95,2024-11-06,8,2891.92,8,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-2238.05
1214.52,2024-11-13,8,-1893.17,8,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-2198.7
1728.53,2024-11-20,8,-958.59,8,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-1902.3
2057.88,2024-11-27,8,4823.78,8,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-696.36
1252.92,2024-12-04,8,-19365.19,8,C1,6,Rank-One 1.50x Reallocation,8,2024-12,2,-11063.08
1204.13,2024-12-11,8,-25862.04,8,C1,3,Rank-One 1.50x Reallocation,8,2024-12,5,-15700.24
834.71,2024-12-18,8,-10255.03,8,C1,7,Rank-One 1.50x Reallocation,8,2024-12,1,-4156.84
3199.69,2024-12-24,8,7938.8,8,C1,0,Rank-One 1.50x Reallocation,8,2024-12,8,367.54
2946.95,2024-12-31,8,9968.71,8,C1,0,Rank-One 1.50x Reallocation,8,2024-12,8,286.0
2608.26,2025-01-08,8,6629.0,8,C1,1,Rank-One 1.50x Reallocation,8,2025-01,7,-575.0
