best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
1787.84,2024-09-04,8,4634.24,10,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-313.44
587.79,2024-09-11,8,-12789.16,10,C1,5,Rank-One 1.50x Reallocation,8,2024-09,3,-8171.52
780.66,2024-09-18,8,-2379.97,10,C1,2,Rank-One 1.50x Reallocation,8,2024-09,6,-5966.62
1572.17,2024-09-25,8,3402.0,10,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-1257.75
2364.55,2024-10-02,8,5686.04,10,C1,2,Rank-One 1.50x Reallocation,8,2024-10,6,-337.69
826.44,2024-10-09,8,1513.95,10,C1,2,Rank-One 1.50x Reallocation,8,2024-10,6,-1671.89
7191.45,2024-10-16,8,8081.35,10,C1,4,Rank-One 1.50x Reallocation,8,2024-10,4,-3403.4
3556.21,2024-10-23,8,7776.55,10,C1,1,Rank-One 1.50x Reallocation,8,2024-10,7,-4.57
3057.04,2024-10-30,8,1651.05,10,C1,4,Rank-One 1.50x Reallocation,8,2024-10,4,-2399.32
3039.24,2024-11-06,8,4469.63,10,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-1372.81
1282.32,2024-11-13,8,-3060.57,10,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-2283.6
3106.84,2024-11-20,8,-1172.91,10,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-2684.63
2445.36,2024-11-27,8,4144.41,10,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-679.6
3166.75,2024-12-04,8,-22703.52,10,C1,6,Rank-One 1.50x Reallocation,8,2024-12,2,-14406.25
750.27,2024-12-11,8,-44473.02,10,C1,4,Rank-One 1.50x Reallocation,8,2024-12,4,-22727.25
1371.17,2024-12-18,8,-14478.91,10,C1,7,Rank-One 1.50x Reallocation,8,2024-12,1,-5527.74
7347.05,2024-12-24,8,17439.35,10,C1,0,Rank-One 1.50x Reallocation,8,2024-12,8,788.87
4200.92,2024-12-31,8,12287.97,10,C1,1,Rank-One 1.50x Reallocation,8,2024-12,7,-561.88
4582.74,2025-01-08,8,11660.21,10,C1,1,Rank-One 1.50x Reallocation,8,2025-01,7,-90.63
3634.8,2025-01-15,8,8486.15,10,C1,2,Rank-One 1.50x Reallocation,8,2025-01,6,-172.04
2607.51,2025-01-22,8,3163.28,10,C1,4,Rank-One 1.50x Reallocation,8,2025-01,4,-571.69
2172.98,2025-01-29,8,3222.46,10,C1,3,Rank-One 1.50x Reallocation,8,2025-01,5,-1270.55
2213.12,2025-02-05,8,4267.82,10,C1,2,Rank-One 1.50x Reallocation,8,2025-02,6,-83.72
2668.66,2025-02-12,8,10066.66,10,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,106.57
3952.81,2025-02-19,8,11034.62,10,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,203.36
2482.09,2025-02-26,8,9768.33,10,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,93.86
3426.89,2025-03-05,8,10188.73,10,C1,1,Rank-One 1.50x Reallocation,8,2025-03,7,-18.0
1145.3,2025-03-12,8,-22786.84,10,C1,4,Rank-One 1.50x Reallocation,8,2025-03,4,-24300.73
2720.44,2025-03-19,8,3637.73,10,C1,2,Rank-One 1.50x Reallocation,8,2025-03,6,-39.15
2548.06,2025-03-26,7,7465.38,10,C1,1,Rank-One 1.50x Reallocation,8,2025-03,6,-0.61
3894.77,2025-04-02,8,5268.75,10,C1,2,Rank-One 1.50x Reallocation,8,2025-04,6,-2013.72
3736.58,2025-04-09,8,14252.93,10,C1,1,Rank-One 1.50x Reallocation,8,2025-04,7,-582.76
1547.08,2025-04-16,8,749.5,10,C1,2,Rank-One 1.50x Reallocation,8,2025-04,6,-3030.68
2862.83,2025-04-23,7,8018.12,10,C1,0,Rank-One 1.50x Reallocation,8,2025-04,7,171.1
3153.0,2025-04-30,7,5686.8,10,C1,3,Rank-One 1.50x Reallocation,8,2025-04,4,-255.6
2956.97,2025-05-07,8,4016.63,10,C1,3,Rank-One 1.50x Reallocation,8,2025-05,5,-3392.79
1819.8,2025-05-14,7,-47.71,10,C1,5,Rank-One 1.50x Reallocation,8,2025-05,2,-1515.36
3433.01,2025-05-21,7,4883.19,10,C1,2,Rank-One 1.50x Reallocation,8,2025-05,5,-995.67
2339.83,2025-05-28,8,1278.29,10,C1,5,Rank-One 1.50x Reallocation,8,2025-05,3,-2201.32
9435.2,2025-06-04,8,11704.12,10,C1,2,Rank-One 1.50x Reallocation,8,2025-06,6,-1585.92
10040.53,2025-06-11,8,11587.61,10,C1,1,Rank-One 1.50x Reallocation,8,2025-06,7,-6740.29
2072.4,2025-06-18,7,5547.8,10,C1,1,Rank-One 1.50x Reallocation,8,2025-06,6,-21.27
2642.75,2025-06-25,7,1971.69,10,C1,3,Rank-One 1.50x Reallocation,8,2025-06,4,-1656.91
2353.92,2025-07-02,6,3001.49,10,C1,2,Rank-One 1.50x Reallocation,8,2025-07,4,-1428.42
1790.43,2025-07-09,8,3783.38,10,C1,1,Rank-One 1.50x Reallocation,8,2025-07,7,-460.16
2235.09,2025-07-16,8,9077.73,10,C1,0,Rank-One 1.50x Reallocation,8,2025-07,8,164.32
794.24,2025-07-23,8,1437.7,10,C1,2,Rank-One 1.50x Reallocation,8,2025-07,6,-1478.52
2015.04,2025-07-30,7,-3334.97,10,C1,4,Rank-One 1.50x Reallocation,8,2025-07,3,-5184.35
311.37,2025-08-06,8,-5582.2,10,C1,7,Rank-One 1.50x Reallocation,8,2025-08,1,-3343.79
1179.46,2025-08-13,7,-3518.95,10,C1,5,Rank-One 1.50x Reallocation,8,2025-08,2,-3158.37
3382.44,2025-08-20,8,5746.55,10,C1,3,Rank-One 1.50x Reallocation,8,2025-08,5,-428.54
1911.42,2025-08-27,8,5339.96,10,C1,1,Rank-One 1.50x Reallocation,8,2025-08,7,-894.2
1286.79,2024-09-04,8,4578.06,10,C2,3,Off-High Substitution,8,2024-09,5,-307.88
647.01,2024-09-11,8,-14188.3,10,C2,5,Off-High Substitution,8,2024-09,3,-8990.72
902.24,2024-09-18,8,-2947.04,10,C2,2,Off-High Substitution,8,2024-09,6,-6888.64
1886.61,2024-09-25,8,4052.26,10,C2,3,Off-High Substitution,8,2024-09,5,-1487.74
2466.64,2024-10-02,8,5111.25,10,C2,2,Off-High Substitution,8,2024-10,6,-352.24
933.14,2024-10-09,8,1687.31,10,C2,2,Off-High Substitution,8,2024-10,6,-1887.09
7609.26,2024-10-16,8,8688.18,10,C2,4,Off-High Substitution,8,2024-10,4,-3603.32
3825.82,2024-10-23,8,5223.34,10,C2,2,Off-High Substitution,8,2024-10,6,-2576.45
3440.2,2024-10-30,8,1418.02,10,C2,4,Off-High Substitution,8,2024-10,4,-2699.44
