A_eventual_completed_pnl,B_marked_account_pnl_at_cutoff,C_post_cutoff_runoff_increment,D_eventual_runoff_pnl,E_open_obligations,F_stale_gross_in_calendar_equity,account_view,cell,cohorts,completed_trades,ending_equity,hit_rate,hold,identities_hold,intended_positions,legacy_id,max_drawdown_pct_of_peak,mean_net_per_trade,model,monthly_reconciles,quantity_convention,return_on_starting_equity,role
4840.16,3369.16,-3480.72,-7197.33,0,30459.87,FIXED_DOLLAR,1,52,408,103369.16,0.5294,8,True,416,R4,-45.086834,11.86,Volume-Sized Short,True,CAUSAL_PREORDER_QTY,0.033692,principal
-21571.2,-23458.09,-3064.83,-6781.44,0,30459.87,FIXED_DOLLAR,2,52,408,76541.91,0.5368,9,True,416,R4,-70.593695,-52.87,Volume-Sized Short,True,CAUSAL_PREORDER_QTY,-0.234581,principal
11245.17,9010.74,-2717.29,-6433.89,0,30459.87,FIXED_DOLLAR,3,52,408,109010.74,0.5343,10,True,416,R4,-54.75373,27.56,Volume-Sized Short,True,CAUSAL_PREORDER_QTY,0.090107,principal
7758.58,7452.16,-3680.62,-8385.99,0,24554.69,FIXED_DOLLAR,4,52,408,107452.16,0.5294,8,True,416,R5,-51.066799,19.02,Momentum+Volume-Sized Short,True,CAUSAL_PREORDER_QTY,0.074522,principal
-27838.58,-28259.17,-3566.45,-8271.81,0,24554.69,FIXED_DOLLAR,5,52,408,71740.83,0.5368,9,True,416,R5,-82.505842,-68.23,Momentum+Volume-Sized Short,True,CAUSAL_PREORDER_QTY,-0.282592,principal
12449.24,11792.52,-3330.32,-8035.68,0,24554.69,FIXED_DOLLAR,6,52,408,111792.52,0.5343,10,True,416,R5,-59.861418,30.51,Momentum+Volume-Sized Short,True,CAUSAL_PREORDER_QTY,0.117925,principal
-2172.74,-1782.79,-3655.84,-8482.07,0,23271.59,EQUITY_SCALED,7,52,408,98217.21,0.5294,8,True,416,R5,-45.100486,-5.33,Momentum+Volume-Sized Short,True,CAUSAL_PREORDER_QTY,-0.017828,principal
-45516.36,-45433.96,-1967.43,-4645.49,0,13273.77,EQUITY_SCALED,8,52,408,54566.04,0.5368,9,True,416,R5,-70.622006,-111.56,Momentum+Volume-Sized Short,True,CAUSAL_PREORDER_QTY,-0.45434,principal
-2347.44,-2677.89,-3314.89,-8174.06,0,25420.26,EQUITY_SCALED,9,52,408,97322.11,0.5343,10,True,416,R5,-58.278637,-5.75,Momentum+Volume-Sized Short,True,CAUSAL_PREORDER_QTY,-0.026779,principal
4685.31,4105.56,-4427.82,-9657.83,0,29307.93,EQUITY_SCALED,10,52,408,104105.56,0.5294,8,True,416,C1,-45.013503,11.48,Rank-One 1.50x Reallocation,True,CAUSAL_PREORDER_QTY,0.041056,principal challenger
-44374.01,-44924.75,-2178.86,-4931.78,0,15929.29,EQUITY_SCALED,11,52,408,55075.25,0.5368,9,True,416,C1,-72.143222,-108.76,Rank-One 1.50x Reallocation,True,CAUSAL_PREORDER_QTY,-0.449247,principal challenger
2288.88,693.4,-3747.15,-8889.84,0,31042.33,EQUITY_SCALED,12,52,408,100693.4,0.5343,10,True,416,C1,-58.559589,5.61,Rank-One 1.50x Reallocation,True,CAUSAL_PREORDER_QTY,0.006934,principal challenger
6823.38,6046.99,-2927.57,-6092.85,0,27446.65,FIXED_DOLLAR,13,52,408,106046.99,0.5343,10,True,416,PARENT,-58.691948,16.72,Equal-Dollar Short,True,CAUSAL_PREORDER_QTY,0.06047,diagnostic control
18686.8,16794.32,-3619.48,-8420.28,0,29323.48,FIXED_DOLLAR,14,52,408,116794.32,0.5343,10,True,416,C1,-59.777937,45.8,Rank-One 1.50x Reallocation,True,CAUSAL_PREORDER_QTY,0.167943,mandatory diagnostic
29600.31,27383.94,-1343.79,-5236.34,0,22557.98,FIXED_DOLLAR,15,52,408,127383.94,0.5882,10,True,416,C2,-57.629997,72.55,Off-High Substitution,True,CAUSAL_PREORDER_QTY,0.273839,falsification control
20084.79,17858.05,-1609.11,-6407.1,0,27345.71,EQUITY_SCALED,16,52,408,117858.05,0.5882,10,True,416,C2,-54.943873,49.23,Off-High Substitution,True,CAUSAL_PREORDER_QTY,0.17858,falsification control
33871.58,30761.39,-1660.16,-5661.23,0,27135.01,FIXED_DOLLAR,17,52,408,130761.39,0.5882,10,True,416,C3,-57.310016,83.02,Combined Reallocation and Substitution,True,CAUSAL_PREORDER_QTY,0.307614,falsification control
24351.98,21028.93,-2074.21,-7156.7,0,33467.93,EQUITY_SCALED,18,52,408,121028.93,0.5882,10,True,416,C3,-55.016018,59.69,Combined Reallocation and Substitution,True,CAUSAL_PREORDER_QTY,0.210289,falsification control
