account_view,cell,classification,historical_hit_rate,historical_mean_sizing_neutral,historical_period,historical_reference,hold,legacy_id,model,pristine_ending_equity,pristine_eventual_pnl,pristine_hit_rate,pristine_mean_sizing_neutral,pristine_period,pristine_return
FIXED_DOLLAR,1,,,,2025-09..2026-08,null,8,R4,Volume-Sized Short,103369.16,4840.16,,,2024-09..2025-08,0.033692
FIXED_DOLLAR,2,,,,2025-09..2026-08,null,9,R4,Volume-Sized Short,76541.91,-21571.2,,,2024-09..2025-08,-0.234581
FIXED_DOLLAR,3,,,,2025-09..2026-08,null,10,R4,Volume-Sized Short,109010.74,11245.17,,,2024-09..2025-08,0.090107
FIXED_DOLLAR,4,,,,2025-09..2026-08,null,8,R5,Momentum+Volume-Sized Short,107452.16,7758.58,,,2024-09..2025-08,0.074522
FIXED_DOLLAR,5,,,,2025-09..2026-08,null,9,R5,Momentum+Volume-Sized Short,71740.83,-27838.58,,,2024-09..2025-08,-0.282592
FIXED_DOLLAR,6,,,,2025-09..2026-08,null,10,R5,Momentum+Volume-Sized Short,111792.52,12449.24,,,2024-09..2025-08,0.117925
EQUITY_SCALED,7,,,,2025-09..2026-08,null,8,R5,Momentum+Volume-Sized Short,98217.21,-2172.74,,,2024-09..2025-08,-0.017828
EQUITY_SCALED,8,,,,2025-09..2026-08,null,9,R5,Momentum+Volume-Sized Short,54566.04,-45516.36,,,2024-09..2025-08,-0.45434
EQUITY_SCALED,9,,,,2025-09..2026-08,null,10,R5,Momentum+Volume-Sized Short,97322.11,-2347.44,,,2024-09..2025-08,-0.026779
EQUITY_SCALED,10,,,,2025-09..2026-08,null,8,C1,Rank-One 1.50x Reallocation,104105.56,4685.31,,,2024-09..2025-08,0.041056
EQUITY_SCALED,11,,,,2025-09..2026-08,null,9,C1,Rank-One 1.50x Reallocation,55075.25,-44374.01,,,2024-09..2025-08,-0.449247
EQUITY_SCALED,12,,,,2025-09..2026-08,null,10,C1,Rank-One 1.50x Reallocation,100693.4,2288.88,,,2024-09..2025-08,0.006934
FIXED_DOLLAR,13,,,,2025-09..2026-08,null,10,PARENT,Equal-Dollar Short,106046.99,6823.38,,,2024-09..2025-08,0.06047
FIXED_DOLLAR,14,,,,2025-09..2026-08,null,10,C1,Rank-One 1.50x Reallocation,116794.32,18686.8,,,2024-09..2025-08,0.167943
FIXED_DOLLAR,15,,,,2025-09..2026-08,null,10,C2,Off-High Substitution,127383.94,29600.31,,,2024-09..2025-08,0.273839
EQUITY_SCALED,16,,,,2025-09..2026-08,null,10,C2,Off-High Substitution,117858.05,20084.79,,,2024-09..2025-08,0.17858
FIXED_DOLLAR,17,,,,2025-09..2026-08,null,10,C3,Combined Reallocation and Substitution,130761.39,33871.58,,,2024-09..2025-08,0.307614
EQUITY_SCALED,18,,,,2025-09..2026-08,null,10,C3,Combined Reallocation and Substitution,121028.93,24351.98,,,2024-09..2025-08,0.210289
FIXED_DOLLAR,,SAME_DIRECTION_WEAKER,0.83,0.272,,,10,rank 1,rank diagnostic,,,0.7143,0.063914,,
FIXED_DOLLAR,,NOT_REPLICATED,0.58,0.073,,,10,rank 2,rank diagnostic,,,0.6531,-0.02222,,
FIXED_DOLLAR,,SAME_DIRECTION_WEAKER,0.52,0.039,,,10,rank 3,rank diagnostic,,,0.549,0.017035,,
FIXED_DOLLAR,,PRISTINE_REPLICATION,0.5,0.027,,,10,rank 4,rank diagnostic,,,0.5192,0.036866,,
FIXED_DOLLAR,,SAME_DIRECTION_WEAKER,0.62,0.092,,,10,rank 5,rank diagnostic,,,0.5769,0.04599,,
FIXED_DOLLAR,,NOT_REPLICATED,0.49,0.026,,,10,rank 6,rank diagnostic,,,0.5,-0.017943,,
FIXED_DOLLAR,,PRISTINE_REPLICATION,0.46,-0.015,,,10,rank 7,rank diagnostic,,,0.4808,-0.050741,,
FIXED_DOLLAR,,NOT_REPLICATED,0.46,0.013,,,10,rank 8,rank diagnostic,,,0.4118,-0.015133,,
