age_sessions,check,classification,cohorts,contrast_group,contrast_hit_rate,contrast_mean,contrast_n,cuts_source,effect,feature,group,historical_effect,hit_effect,hit_rate,is_frozen_hold,mean,median,n,name,pooled_spearman,securities,t1_low_mean,t3_high_mean,within_cohort_mean_spearman,within_cohort_positive_share
,M1,SAME_DIRECTION_WEAKER,49,ranks 2-8,0.5265,-0.00071,359,none,0.064624,rank,rank 1,0.235571,,0.7143,,0.063914,0.081118,49,rank-one effect,,,,,,
,M2,REPORTED,52,,,,,A11 frozen,0.094121,cx_gap_to_next_rank,all,,0.2074,,,,,408,cx_gap_to_next_rank,0.191354,225,-0.042584,0.051537,0.167811,0.6346
,M3,REPORTED,52,,,,,A11 frozen,-0.028054,sc_close_vs_high20,ranks 2-8,,-0.1783,,,,,353,sc_close_vs_high20,-0.151268,201,0.003931,-0.024123,-0.02706,0.4615
,M5a,REPORTED,52,,,,,A11 frozen,0.033748,sc_mean_range_pct_10,all,,0.1344,,,,,401,sc_mean_range_pct_10,0.226308,219,0.000455,0.034203,0.115247,0.6538
,M5b,REPORTED,52,,,,,A11 frozen,0.010584,sc_logret_std_15,all,,0.0094,,,,,407,sc_logret_std_15,0.133421,224,0.014863,0.025447,0.112637,0.5962
,M5c,REPORTED,52,,,,,A11 frozen,0.034958,sc_signal_day_range_pct,all,,0.1458,,,,,401,sc_signal_day_range_pct,0.175362,219,0.007556,0.042514,0.174679,0.6731
,M5d,REPORTED,52,,,,,A11 frozen,0.091795,po_partial_range_pct,all,,0.2185,,,,,408,po_partial_range_pct,0.270157,225,-0.009062,0.082733,0.222756,0.75
,M6a,REPORTED,52,,,,,A11 frozen,-0.018612,sc_up_sessions_15,all,,-0.0116,,,,,407,sc_up_sessions_15,-0.01694,224,0.024589,0.005977,-0.002915,0.5192
,M6b,REPORTED,52,,,,,A11 frozen,-0.036963,sc_top3_sessions_share_of_advance,all,,-0.0565,,,,,407,sc_top3_sessions_share_of_advance,0.019843,224,0.03115,-0.005813,-0.002518,0.4808
,M7,REPORTED,52,,,,,A11 frozen,-0.00462,sc_ret3,all,,0.062,,,,,407,sc_ret3,0.072292,224,-0.003098,-0.007718,0.142628,0.6731
