classification,historical_h10_hit,historical_h10_mean,hit_rate,hold,mean,median,n,rank
,,,0.6939,8,0.057506,0.116667,49,1
,,,0.6531,8,-0.006659,0.055288,49,2
,,,0.4314,8,-0.013475,-0.013135,51,3
,,,0.5385,8,0.022176,0.01167,52,4
,,,0.5577,8,0.026175,0.017586,52,5
,,,0.5192,8,-0.011472,0.009596,52,6
,,,0.5,8,-0.027775,-0.000672,52,7
,,,0.4314,8,-0.032,-0.031755,51,8
,,,0.6939,9,0.033417,0.104082,49,1
,,,0.6531,9,-0.063109,0.042908,49,2
,,,0.5098,9,-0.002985,0.002591,51,3
,,,0.4423,9,0.009107,-0.002736,52,4
,,,0.5385,9,0.030032,0.016316,52,5
,,,0.5192,9,-0.005619,0.010469,52,6
,,,0.5192,9,-0.058585,0.008473,52,7
,,,0.4314,9,-0.030541,-0.012883,51,8
SAME_DIRECTION_WEAKER,0.83,0.272,0.7143,10,0.063914,0.081118,49,1
NOT_REPLICATED,0.58,0.073,0.6531,10,-0.02222,0.044381,49,2
SAME_DIRECTION_WEAKER,0.52,0.039,0.549,10,0.017035,0.008532,51,3
PRISTINE_REPLICATION,0.5,0.027,0.5192,10,0.036866,0.001089,52,4
SAME_DIRECTION_WEAKER,0.62,0.092,0.5769,10,0.04599,0.026706,52,5
NOT_REPLICATED,0.49,0.026,0.5,10,-0.017943,0.004996,52,6
PRISTINE_REPLICATION,0.46,-0.015,0.4808,10,-0.050741,-0.004374,52,7
NOT_REPLICATED,0.46,0.013,0.4118,10,-0.015133,-0.003811,51,8
