date,b_pnl,flush_pnl,combined_pnl,equity
2026-06-01,502.68,149.64,652.32,100652.32
2026-06-02,682.65,-192.74,489.91,101142.22
2026-06-03,311.71,0.0,311.71,101453.93
2026-06-04,-1352.72,0.0,-1352.72,100101.21
2026-06-05,1386.93,0.0,1386.93,101488.14
2026-06-08,0.0,0.0,0.0,101488.14
2026-06-09,918.49,41.08,959.58,102447.71
2026-06-10,1625.37,0.0,1625.37,104073.08
2026-06-11,-350.65,12.49,-338.16,103734.92
2026-06-12,-224.67,0.0,-224.67,103510.24
2026-06-15,-374.02,0.0,-374.02,103136.23
2026-06-16,954.22,-171.43,782.8,103919.02
2026-06-17,49.69,122.15,171.84,104090.86
2026-06-18,-378.97,375.07,-3.9,104086.96
2026-06-22,485.81,-33.0,452.8,104539.77
2026-06-23,-146.47,-73.67,-220.14,104319.62
2026-06-24,791.82,0.0,791.82,105111.45
2026-06-25,62.88,-234.7,-171.83,104939.62
2026-06-26,-1385.59,248.61,-1136.98,103802.64
2026-06-29,-19.4,131.81,112.4,103915.05
2026-06-30,-917.67,0.0,-917.67,102997.38
2026-07-01,58.74,0.0,58.74,103056.11
2026-07-02,-219.69,0.0,-219.69,102836.42
2026-07-06,-329.47,0.0,-329.47,102506.96
2026-07-07,1941.85,0.0,1941.85,104448.8
2026-07-08,-338.61,0.0,-338.61,104110.2
2026-07-09,0.0,0.0,0.0,104110.2
2026-07-10,45.89,0.0,45.89,104156.08
2026-07-13,895.92,0.0,895.92,105052.01
2026-07-14,87.27,0.0,87.27,105139.28
2026-07-15,0.0,0.0,0.0,105139.28
2026-07-16,1122.18,0.0,1122.18,106261.46
2026-07-17,-1903.52,-0.35,-1903.87,104357.59
2026-07-20,-414.01,0.0,-414.01,103943.57
2026-07-21,191.36,0.0,191.36,104134.94
2026-07-22,97.21,0.0,97.21,104232.15
2026-07-23,510.44,-42.0,468.44,104700.59
2026-07-24,-146.14,0.0,-146.14,104554.45
2026-07-27,314.73,0.0,314.73,104869.18
2026-07-28,-662.21,0.0,-662.21,104206.97
2026-07-29,-811.62,0.0,-811.62,103395.35
2026-07-30,-14.58,-72.44,-87.02,103308.33
2026-07-31,-82.19,0.0,-82.19,103226.14
2026-08-03,-232.53,0.0,-232.53,102993.61
2026-08-04,124.9,-55.84,69.06,103062.67
2026-08-05,506.02,190.88,696.91,103759.58
2026-08-06,-220.45,0.0,-220.45,103539.13
2026-08-07,455.92,134.7,590.62,104129.75
2026-08-10,-662.53,0.0,-662.53,103467.22
2026-08-11,-309.57,0.0,-309.57,103157.65
2026-08-12,100.89,58.88,159.76,103317.41
2026-08-13,754.72,0.0,754.72,104072.12
2026-08-14,59.74,-24.83,34.91,104107.03
2026-08-17,-543.33,0.0,-543.33,103563.7
2026-08-18,1089.56,0.0,1089.56,104653.27
2026-08-19,193.87,197.07,390.94,105044.21
2026-08-20,104.92,-38.64,66.28,105110.49
2026-08-21,0.0,-120.79,-120.79,104989.7
2026-08-24,382.48,0.0,382.48,105372.18
2026-08-25,-45.11,0.0,-45.11,105327.07
2026-08-26,1054.56,0.0,1054.56,106381.63
2026-08-27,-10.68,1452.36,1441.68,107823.3
2026-08-28,947.31,-53.49,893.83,108717.13
2026-08-31,190.27,0.0,190.27,108907.4
