date,b_pnl,flush_pnl,combined_pnl,equity
2026-01-02,0.0,0.0,0.0,100000.0
2026-01-05,284.82,-172.66,112.15,100112.15
2026-01-06,141.72,-416.19,-274.48,99837.68
2026-01-07,-868.87,-230.15,-1099.02,98738.65
2026-01-08,-586.58,-230.47,-817.05,97921.61
2026-01-09,-160.23,-240.39,-400.62,97520.98
2026-01-12,-212.39,267.11,54.72,97575.7
2026-01-13,29.51,-237.22,-207.71,97367.99
2026-01-14,-595.11,0.0,-595.11,96772.88
2026-01-15,-78.82,0.0,-78.82,96694.06
2026-01-16,-323.97,0.0,-323.97,96370.09
2026-01-20,-1519.6,61.88,-1457.72,94912.38
2026-01-21,334.33,-683.29,-348.96,94563.42
2026-01-22,103.68,0.0,103.68,94667.1
2026-01-23,164.61,0.0,164.61,94831.71
2026-01-26,128.08,-258.72,-130.64,94701.07
2026-01-27,-271.33,0.0,-271.33,94429.74
2026-01-28,-23.12,0.0,-23.12,94406.62
2026-01-29,1069.44,-65.61,1003.82,95410.44
2026-01-30,1209.31,-214.32,994.99,96405.43
2026-02-02,-584.18,59.94,-524.24,95881.19
2026-02-03,-15.06,0.0,-15.06,95866.14
2026-02-04,182.65,0.0,182.65,96048.78
2026-02-05,1396.53,0.0,1396.53,97445.31
2026-02-06,-357.37,583.13,225.76,97671.07
2026-02-09,-434.01,-2.3,-436.32,97234.75
2026-02-10,632.3,-225.91,406.39,97641.14
2026-02-11,-256.29,-249.36,-505.65,97135.49
2026-02-12,298.12,0.0,298.12,97433.6
2026-02-13,-1048.98,0.0,-1048.98,96384.62
2026-02-17,-965.32,0.0,-965.32,95419.3
2026-02-18,-166.28,-136.25,-302.53,95116.77
2026-02-19,-987.57,0.0,-987.57,94129.2
2026-02-20,-440.79,0.0,-440.79,93688.41
2026-02-23,608.45,0.0,608.45,94296.86
2026-02-24,-623.81,65.77,-558.04,93738.82
2026-02-25,-200.57,-257.01,-457.57,93281.25
2026-02-26,-82.55,-245.97,-328.52,92952.73
2026-02-27,-351.69,0.0,-351.69,92601.04
2026-03-02,-1102.03,0.0,-1102.03,91499.01
2026-03-03,-538.6,-30.48,-569.08,90929.93
2026-03-04,-386.22,133.25,-252.97,90676.96
2026-03-05,498.76,0.0,498.76,91175.71
2026-03-06,-354.88,0.0,-354.88,90820.83
2026-03-09,-1490.76,0.0,-1490.76,89330.07
2026-03-10,-629.24,-28.3,-657.54,88672.52
2026-03-11,-924.34,0.0,-924.34,87748.18
2026-03-12,-468.69,0.0,-468.69,87279.5
2026-03-13,0.0,-224.61,-224.61,87054.89
2026-03-16,151.64,0.0,151.64,87206.53
2026-03-17,77.12,-236.18,-159.06,87047.47
2026-03-18,502.28,72.15,574.42,87621.9
2026-03-19,-1592.27,-93.04,-1685.31,85936.59
2026-03-20,177.47,0.0,177.47,86114.06
2026-03-23,-374.9,0.0,-374.9,85739.16
2026-03-24,-447.03,0.0,-447.03,85292.12
2026-03-25,-230.28,71.92,-158.36,85133.77
2026-03-26,1882.35,0.0,1882.35,87016.12
2026-03-27,171.74,0.0,171.74,87187.86
2026-03-30,-253.92,-256.35,-510.27,86677.58
2026-03-31,197.99,0.0,197.99,86875.57
2026-04-01,91.05,166.89,257.94,87133.51
2026-04-02,-1358.91,-39.0,-1397.9,85735.61
2026-04-06,66.64,0.0,66.64,85802.25
2026-04-07,-330.28,-202.62,-532.91,85269.34
2026-04-08,-914.86,-220.65,-1135.5,84133.84
2026-04-09,-359.55,366.36,6.81,84140.65
2026-04-10,0.0,-110.79,-110.79,84029.86
2026-04-13,-244.35,0.0,-244.35,83785.51
2026-04-14,216.92,0.0,216.92,84002.43
2026-04-15,313.54,302.34,615.88,84618.31
2026-04-16,0.0,0.0,0.0,84618.31
2026-04-17,-144.4,0.0,-144.4,84473.91
2026-04-20,-1108.34,0.0,-1108.34,83365.58
2026-04-21,747.94,-230.34,517.6,83883.17
2026-04-22,0.0,-219.67,-219.67,83663.5
2026-04-23,122.47,0.0,122.47,83785.97
2026-04-24,536.24,0.0,536.24,84322.2
2026-04-27,-12.02,-244.65,-256.67,84065.54
2026-04-28,1342.09,0.0,1342.09,85407.62
2026-04-29,149.97,174.78,324.75,85732.38
2026-04-30,-74.29,6.61,-67.68,85664.7
2026-05-01,-399.59,0.0,-399.59,85265.11
2026-05-04,326.65,0.0,326.65,85591.76
2026-05-05,-165.98,0.0,-165.98,85425.78
2026-05-06,371.3,533.54,904.84,86330.62
2026-05-07,7.75,-6.27,1.48,86332.1
2026-05-08,-617.49,0.0,-617.49,85714.61
2026-05-11,-1259.05,1643.19,384.14,86098.75
2026-05-12,636.78,-217.12,419.66,86518.42
2026-05-13,-177.24,315.68,138.44,86656.86
2026-05-14,-800.76,0.0,-800.76,85856.09
2026-05-15,337.77,0.0,337.77,86193.86
2026-05-18,142.77,0.0,142.77,86336.63
2026-05-19,-41.01,0.0,-41.01,86295.62
2026-05-20,-892.35,-92.45,-984.8,85310.83
2026-05-21,-421.33,0.0,-421.33,84889.5
2026-05-22,0.0,-181.21,-181.21,84708.28
2026-05-26,-53.86,523.1,469.24,85177.52
2026-05-27,-1027.34,-225.69,-1253.03,83924.49
2026-05-28,-566.51,130.06,-436.45,83488.04
2026-05-29,-1085.51,0.0,-1085.51,82402.53
